sent1	sent2	sick	glove_orig	glove_v1	glove_v2	sbert_orig	sbert_v1	sbert_v2	sbert
A person is frying meat in a pan	A person is frying food in a pan	0.8500000000000001	0.714	0.714	0.714	0.689	0.689	0.689	0.866024
A pizza is being eaten by a man	A man is eating some food	0.8500000000000001	0.714	0.714	0.714	0.714	0.714	0.714	0.6153118
Two cats are playfully fighting each other	The cats are playing with each other	0.8500000000000001	0.513	0.572	0.513	0.444	0.478	0.444	0.69910455
Two cats are playfully fighting each other	Two cats are fighting each other	0.8500000000000001	0.8	0.933	0.8	0.8	0.849	0.8	0.90451
A man is doing a skateboard trick on a park porch	A man is doing a trick on a skateboard	0.8500000000000001	0.588	0.588	0.588	0.588	0.588	0.588	0.7188192
The woman is cooking eggs	The woman is cooking something	0.8500000000000001	0.833	0.833	0.833	0.833	0.833	0.833	0.6193922
A man is doing a trick on a skateboard	A person is doing a trick on a skateboard	0.8500000000000001	0.959	0.959	0.959	0.923	0.923	0.923	0.8971061
The lady is cracking an egg into a bowl	The person is cracking eggs into a bowl	0.8500000000000001	0.875	0.875	0.875	0.875	0.875	0.875	0.83199924
A horse is racing	A horse is running	0.8500000000000001	0.5	0.5	0.5	0.5	0.5	0.5	0.7994783
A cheetah is breathlessly chasing its prey across a field	A cheetah is chasing its prey across a field	0.8500000000000001	0.846	0.846	0.846	0.846	0.846	0.846	0.92113143
The girl is using a pencil for the eyes on her eyelid	The woman is penciling on eyeshadow	0.8500000000000001	0.316	0.316	0.316	0.392	0.392	0.392	0.502264
The lady is penciling on eyeshadow	The girl is using an eye pencil on her eyelid	0.8500000000000001	0.302	0.389	0.302	0.342	0.487	0.342	0.5013099
A man, a woman and two girls are sitting on the beach	A group of people is on a beach	0.8500000000000001	0.396	0.396	0.559	0.326	0.326	0.326	0.60551554
A man with a white moustache is sitting on a balcony and is looking at the road below	A man with a white moustache is standing on a balcony and is looking at the road below	0.8500000000000001	0.971	0.971	0.971	0.952	0.952	0.952	0.90841377
A man is playing a large flute	A flute is being played by a man	0.8500000000000001	0.857	1.001	0.929	0.857	1.019	0.857	0.780673
A big brown and white spotted dog is lying on a jacket on the street	A big brown and white spotted dog is lying on a cloth on the street	0.8500000000000001	0.899	0.899	0.899	0.857	0.857	0.857	0.9289348
A girl is applying makeup to her face	A lady is putting on makeup	0.8500000000000001	0.476	0.476	0.476	0.556	0.556	0.556	0.86314815
Two men are fighting	Some men are fighting	0.8500000000000001	0.833	0.833	0.833	0.833	0.833	0.833	0.90776396
A woman is putting a baby in a waste bin	A woman is putting a child in a waste bin	0.8500000000000001	0.973	0.97	0.973	0.989	0.922	0.989	0.96270216
A squirrel is running in circles	An animal is running in circles	0.8500000000000001	0.75	0.75	0.75	0.84	0.84	0.84	0.7958507
The lion is pacing tiredly in the pen	A lion is slowly walking	0.8500000000000001	0.286	0.286	0.286	0.322	0.322	0.322	0.5224791
A man on a bike is jumping on a pyramid-shaped ramp	A bicyclist is jumping on a pyramid-shaped ramp	0.8500000000000001	0.818	0.818	0.818	0.818	0.818	0.818	0.8152262
A baby is talking	A child is talking	0.8500000000000001	0.932	0.932	0.932	0.973	0.973	0.973	0.9428935
A young man on a bmx bicycle is jumping on a masonry pyramid	A young man on a bmx bicycle is jumping off a masonry pyramid	0.8500000000000001	0.895	0.867	0.895	0.895	0.77	0.895	0.9811429
The windows are being polished by a man	The windows are being cleaned by a man	0.8500000000000001	0.667	0.667	0.667	0.667	0.667	0.667	0.8158376
A young, topless woman is covered in paint	A topless girl is covered in paint	0.8500000000000001	0.872	0.759	0.872	0.879	0.708	0.879	0.9574619
Two men are standing together and one is looking through binoculars	Two men are looking out and one is holding binoculars	0.8500000000000001	0.751	0.775	0.785	0.757	0.757	0.757	0.9022053
A young boy is sitting in a bathing suit and waiting for the next race	A kid is sitting wearing swim gear	0.8500000000000001	0.319	0.461	0.336	0.353	0.444	0.346	0.4655369
A woman is placing food in a pot of hot water	A woman is cooking food in a pot of hot water	0.8500000000000001	0.833	0.833	0.833	0.833	0.833	0.833	0.9217411
A puppy is repeatedly rolling from side to side on its back	A dog is rolling from side to side	0.8500000000000001	0.741	0.741	0.741	0.731	0.731	0.731	0.7382169
A man is riding a horse	The person is riding the animal	0.8500000000000001	0.876	0.876	0.876	0.85	0.85	0.85	0.40908268
A woman is dipping a prawn in batter	A woman is dipping a shrimp in batter	0.8500000000000001	0.956	0.956	0.956	0.875	0.875	0.875	0.795277
A man is looking into the distance and people is walking between buildings behind	A person is looking into the distance and people is walking between buildings behind	0.8500000000000001	0.986	0.986	0.986	0.974	0.974	0.974	0.921509
A rabbit is playing with a toy rabbit	A rabbit is playing with a stuffed bunny	0.8500000000000001	0.717	0.856	0.717	0.741	0.834	0.741	0.87066525
A bunny is playing with a stuffed bunny	A rabbit is playing with a toy rabbit	0.8500000000000001	0.685	0.8	0.685	0.732	0.79	0.732	0.69108653
A woman is slicing a cucumber	A person is slicing a cucumber	0.8500000000000001	0.954	0.954	0.954	0.833	0.833	0.833	0.8849863
A little girl is smiling and running out of the house	A little girl is smiling and running outside	0.8500000000000001	0.8	0.786	0.8	0.818	0.754	0.818	0.71416694
A bride in a white dress is running	A girl in a white dress is running	0.8500000000000001	0.827	0.827	0.827	0.815	0.815	0.815	0.92978245
A black dog is jumping on a dock into a pond	A black dog is jumping from a dock into the water	0.8500000000000001	0.956	0.956	0.956	0.975	0.975	0.975	0.91406155
A man is slicing potatoes	The man is slicing a potato	0.8500000000000001	1.0	1.0	1.0	1.0	1.0	1.0	0.92099667
A cluster of four brown dogs are playing in a field of brown grass	Four dogs are playing in a area covered by grass	0.8500000000000001	0.582	0.66	0.582	0.592	0.611	0.587	0.896642
A flute is being played by a girl	A girl is playing a wind instrument	0.8500000000000001	0.801	0.915	0.801	0.79	0.941	0.79	0.68503857
A girl is playing a flute	A girl is playing a wind instrument	0.8500000000000001	0.801	0.915	0.801	0.79	0.941	0.79	0.6635643
A cheetah is chasing its prey across a field	A cheetah is quickly running behind its prey.	0.8500000000000001	0.604	0.604	0.604	0.562	0.562	0.562	0.79489636
The dog is having a nap in the park	The dog is having a rest in the park	0.8500000000000001	0.667	0.667	0.667	0.726	0.726	0.726	0.912294
The man is seasoning the sausages	The man is seasoning the meat	0.8500000000000001	0.614	0.614	0.614	0.5	0.5	0.5	0.71844715
A man is eating a pizza	Some food is being eaten by a man	0.8500000000000001	0.714	0.714	0.714	0.714	0.714	0.714	0.52355176
An airplane is taking off	A plane is landing	0.8500000000000001	0.466	0.466	0.466	0.476	0.476	0.476	0.7947
A boy is hitting a baseball	A child is hitting a baseball	0.8500000000000001	0.959	0.959	0.959	0.963	0.963	0.963	0.8354216
A group of people is sitting on both sides of a red stone structure	A group of people is standing on both sides of a red stone structure	0.8500000000000001	0.899	0.899	0.899	0.875	0.817	0.875	0.6685286
Somebody is cutting a tomato	The lady is slicing a tomato	0.8500000000000001	0.5	0.5	0.5	0.551	0.551	0.551	0.811308
A child is making a snow ball	A child in orange is playing outdoors with a snowball	0.8500000000000001	0.365	0.47	0.365	0.403	0.551	0.403	0.6144037
The people are sitting aimlessly on a bench in front of a restaurant	The people are sitting on a bench in front of a restaurant	0.8500000000000001	0.833	0.833	0.833	0.833	0.833	0.833	0.82174367
A married couple is walking up the aisle	A married couple is walking down the aisle	0.8500000000000001	0.992	0.992	0.992	0.9	0.9	0.9	0.94253135
Two women are wearing bikinis on the sandy beach	Two women are wearing bikinis and walking on the sand	0.8500000000000001	0.609	0.61	0.609	0.646	0.66	0.646	0.8108937
The cat is licking milk from a saucer	Some milk is being hungrily drunk by a cat	0.8500000000000001	0.556	0.704	0.556	0.556	0.683	0.556	0.7162839
A dog with a blue collar is playing with the ball in the garden	A dog with a blue collar is playing with the ball outside	0.8500000000000001	0.9	0.9	0.9	0.9	0.9	0.9	0.8340764
The man is doing a handstand on the wet sand at the edge of the water at the beach	A handstand is being performed by a man on the beach	0.8500000000000001	0.417	0.417	0.417	0.417	0.417	0.417	0.832784
A man is dancing on the ceiling of a room	The man is dancing upside-down on the ceiling	0.8500000000000001	0.726	0.726	0.726	0.667	0.667	0.667	0.90383583
The men are acting on a stage	The men are performing on stage	0.8500000000000001	0.667	0.667	0.667	0.667	0.667	0.667	0.91738915
A dog is quickly running uphill	A dog is running uphill	0.8500000000000001	0.857	0.857	0.857	0.857	0.857	0.857	0.90770197
A dog is running up a grassy hill	A dog is running uphill	0.8500000000000001	0.625	0.667	0.625	0.727	0.776	0.727	0.6994887
A cat is playing a piano	A cat is playing keyboards	0.8500000000000001	0.941	0.941	0.941	0.833	0.833	0.833	0.6571747
A couple of white dogs are running and jumping along a beach	Two dogs are playing on the beach	0.8500000000000001	0.32	0.32	0.32	0.32	0.32	0.32	0.68295264
Two little boys are playing outside with a soccer ball on the green grass	Children are playing outside with a soccer ball on the green grass	0.8500000000000001	0.797	0.818	0.797	0.798	0.77	0.798	0.854473
The oriental lady is cutting a carrot into thin pieces	A woman is slicing a carrot	0.8500000000000001	0.397	0.464	0.439	0.475	0.537	0.475	0.8501221
The black dog is walking along a tree trunk bridge over water	A dog is crossing a river on a bridge made from a fallen tree	0.8500000000000001	0.402	0.448	0.402	0.409	0.409	0.409	0.7833358
The man with brown hair is wearing sunglasses and is sitting listlessly at a table with cans of soda and other drinks	The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks	0.8500000000000001	0.864	0.855	0.915	0.864	0.82	0.864	0.8785941
The man is riding a horse by a stream	A man is riding a horse	0.8500000000000001	0.857	0.857	0.857	0.857	0.857	0.857	0.73277
A man is uninterestedly holding a sign and is seeking money	A man is holding a sign and is seeking money	0.8500000000000001	0.867	0.867	1.0	0.867	0.867	0.867	0.8125943
Two dogs are frolicking in the snow	A brown dog and a gray dog are playing in the snow	0.8500000000000001	0.364	0.337	0.364	0.364	0.437	0.364	0.596938
Boys are dancing in front of some people	Young men are dancing in front of some people	0.8500000000000001	0.89	0.986	0.89	0.877	1.018	0.877	0.94587773
Two boys are laying in the ocean close to the beach	Two boys are laying in the water close to the beach	0.8500000000000001	0.969	0.969	0.969	0.961	0.961	0.961	0.9591457
Two dogs and two people are walking in the woods	Two men with dogs are walking on a forest path	0.8500000000000001	0.714	0.714	0.714	0.743	0.743	0.743	0.77187186
A boy is attentively looking at a calendar	A boy is checking a calendar	0.8500000000000001	0.571	0.571	0.571	0.618	0.618	0.618	0.8857296
A person is standing in a vast field of glacial ice	The person is standing on white ice	0.8500000000000001	0.6	0.707	0.6	0.6	0.702	0.6	0.6888848
A brown dog is jumping in the air	The brown animal is jumping in the air	0.8500000000000001	0.96	0.965	0.96	0.967	0.936	0.967	0.7504797
A man is riding a motorcycle through the town	A man is riding a motorcycle	0.8500000000000001	0.857	0.857	0.857	0.857	0.857	0.857	0.809698
The brown dog is jumping in the air	A dog is jumping in the air	0.8500000000000001	0.857	1.028	0.955	0.857	0.958	0.857	0.8073086
The brown dog is jumping in the air	The brown animal is jumping in the air	0.8500000000000001	0.96	0.965	0.96	0.967	0.936	0.967	0.7658742
The man is taking a picture of himself and another guy	A picture of himself and another guy is being taken by the man	0.8500000000000001	0.923	0.917	0.923	0.923	0.874	0.923	0.9082134
A bicyclist is performing a trick over a clean wall	A cyclist is performing a jump on a bicycle	0.8500000000000001	0.5	0.5	0.5	0.5	0.5	0.5	0.57314825
A girl is waking up	A child is waking up	0.8500000000000001	0.941	0.941	0.941	0.896	0.896	0.896	0.80215526
Two people are in the snow, wearing clothes that provide camouflage	Some people are in the snow, wearing clothes that provide camouflage	0.8500000000000001	0.947	0.924	0.947	0.947	0.94	0.947	0.92025524
A girl is awakening	A child is waking up	0.8500000000000001	0.441	0.441	0.441	0.475	0.475	0.475	0.65622485
Two young men are cheerfully playing outside near a golden statue	Two young men are playing outside near a golden statue	0.8500000000000001	0.882	0.875	0.882	0.882	0.758	0.882	0.9026667
The boy is riding a bike on the top of a metal fence	The biker is riding along the top of a fence	0.8500000000000001	0.631	0.713	0.631	0.583	0.636	0.583	0.67180145
A tennis player is lunging to the left	A tennis player is jumping to the left	0.8500000000000001	0.8	0.8	0.8	0.829	0.829	0.829	0.91705877
A woman is slicing garlic	A woman is chopping up garlic	0.8500000000000001	0.667	0.667	0.667	0.667	0.667	0.667	0.9120909
The muscular black man is dancing and the man behind him is wearing green beads	The muscular man is dancing and the man behind him is wearing green beads	0.8500000000000001	0.905	0.905	0.905	0.905	0.905	0.905	0.9804723
A horse and its rider are leaping quickly over a barrier	A horse and its rider are leaping over a barrier	0.8500000000000001	0.938	0.938	0.938	0.938	0.938	0.938	0.930245
A surfer is riding a big wave across dark green water	The surfer is riding a big wave	0.8500000000000001	0.714	0.692	0.714	0.714	0.643	0.714	0.77842766
One man is running down the road	A man is running	0.8500000000000001	0.571	0.571	0.714	0.571	0.571	0.571	0.7204693
A horse is leaping a hurdle and has a rider on its back	A horse and its rider are leaping quickly over a barrier	0.8500000000000001	0.556	0.556	0.556	0.579	0.579	0.579	0.75342315
A woman, who is old, is near a dog that has a white coat	A woman, who is old, is near a white dog	0.8500000000000001	0.75	0.75	0.75	0.75	0.75	0.75	0.96757364
A woman is cutting a white onion	A woman is cutting an onion	0.8500000000000001	0.643	0.643	0.643	0.643	0.643	0.643	0.9043876
The man is riding a horse by a creek	The man is riding a horse by a stream	0.8500000000000001	0.947	0.947	0.947	0.978	0.978	0.978	0.9366995
A dog, which is black, and a white one are staring at each other in the street	Two dogs of different breeds are looking at each other across a street	0.8500000000000001	0.444	0.502	0.444	0.467	0.51	0.467	0.7411818
A man in a red uniform is swiftly making a jump in a dirt bike race	A man in a red uniform is making a jump in a dirt bike race	0.8500000000000001	0.867	0.88	0.867	0.867	0.85	0.867	0.94917184
A woman is slicing a green pepper	The woman with a knife is slicing a pepper	0.8500000000000001	0.667	0.667	0.667	0.667	0.667	0.667	0.87175393
The chef is carefully pouring some oil into a pan	Some liquid is being poured into a pan by a man	0.8500000000000001	0.773	0.773	0.773	0.727	0.727	0.727	0.6015259
A dog is catching a ball in mid air	A brown and white dog is leaping in the air with a tennis ball in its mouth	0.8500000000000001	0.37	0.528	0.37	0.37	0.485	0.37	0.47624305
The man is doing a wheelie on a mountain bike	A man on a bicycle is riding on one wheel only	0.8500000000000001	0.513	0.485	0.513	0.501	0.514	0.501	0.63611764
The girl is recklessly jumping onto a car	One girl is jumping on the car	0.8500000000000001	0.75	0.75	0.75	0.75	0.75	0.75	0.85858005
A duck with brown feathers and a green head is flapping its wings in the water	A bird is flapping its wings on the water	0.8500000000000001	0.57	0.59	0.57	0.568	0.587	0.568	0.6132198
A woman is tapping her fingers on a table	A woman is tapping her fingers nervously	0.8500000000000001	0.889	0.889	0.889	0.889	0.889	0.889	0.6737536
A woman is vigorously breaking two eggs in a bowl.	A woman is breaking two eggs in a bowl	0.8500000000000001	0.773	0.773	0.773	0.773	0.773	0.773	0.9473103
A rider is surfing the wave	A man is performing a trick on a surfboard in the water	0.8500000000000001	0.395	0.395	0.395	0.475	0.475	0.475	0.5624964
A dog is turning on the grass and pursuing a flying tennis ball	A yellow dog is chasing a ball	0.8500000000000001	0.32	0.549	0.32	0.35	0.43	0.35	0.41968107
The man is abruptly knocked off of a horse	Someone is falling off a horse	0.8500000000000001	0.63	0.63	0.63	0.556	0.556	0.556	0.75907254
Two kids are pushing an inflatable crocodile in a pool	Two kids are playing in a swimming pool with a green colored crocodile float	0.8500000000000001	0.562	0.562	0.562	0.578	0.578	0.578	0.85528743
Small children are climbing a statue in a park	Some children are playing on a statue	0.8500000000000001	0.635	0.532	0.635	0.556	0.559	0.556	0.6609771
An old man is sitting in a field	A man is sitting in a field	0.8500000000000001	0.857	1.054	0.979	0.857	0.958	0.857	0.8230299
A dog, which is brown, and a black one are racing in the grass	A dog, which is brown, and a black one are running in the grass	0.8500000000000001	0.857	0.857	0.857	0.857	0.857	0.857	0.8124819
A woman is putting meat in a pan	The meat is being dropped into a pan	0.8500000000000001	0.608	0.608	0.608	0.571	0.571	0.571	0.73581475
A few men are cheerfully playing cricket	People are playing cricket	0.8500000000000001	0.719	0.719	0.719	0.692	0.692	0.692	0.5415823
The girl is recklessly jumping onto a car	One young lady is jumping on the car	0.8500000000000001	0.63	0.795	0.63	0.656	0.777	0.656	0.8390259
A man and a child are kayaking through gentle waters	A yellow kayak is being ridden by a man and a young boy	0.8500000000000001	0.554	0.664	0.554	0.555	0.61	0.523	0.69591165
A man and a child are kayaking through gentle waters	A man and a young boy are riding in a yellow kayak	0.8500000000000001	0.554	0.664	0.482	0.555	0.61	0.555	0.724974
A person playing football is wearing black armbands	A football player is wearing black armbands	0.8500000000000001	1.0	1.0	1.0	1.0	1.0	1.0	0.9730274
A man is sprinkling seasoning on several sliced and buttered loaves of bread	A person is sprinkling seasoning on several sliced and buttered loaves of bread	0.8500000000000001	0.712	0.712	0.712	0.699	0.699	0.699	0.88791996
A person is stupidly throwing a cat at the ceiling	A person is throwing a cat at the ceiling	0.8500000000000001	0.889	0.889	0.889	0.889	0.889	0.889	0.897589
Two dogs are battling for a frisbee in a lake	Two brown dogs are playing with a frisbee in the water	0.8500000000000001	0.694	0.694	0.694	0.697	0.697	0.697	0.799955
The woman is taking up and holding a baby kangaroo	The woman is picking up and holding a baby kangaroo	0.8500000000000001	0.929	0.923	0.929	0.952	0.92	0.952	0.9458046
A squirrel is running around in circles	A squirrel is spinning around in circles	0.8500000000000001	0.75	0.75	0.75	0.75	0.75	0.75	0.8982246
The bunch of men are playing rugby on a muddy field	Some men are playing rugby	0.8500000000000001	0.7	0.7	0.7	0.757	0.757	0.757	0.7546237
One man is doing a bicycle trick in midair	The cyclist is performing a trick in the air	0.8500000000000001	0.479	0.479	0.479	0.462	0.462	0.462	0.84727895
Two girls are jumping inside a playing house	Two girls are playing inside a jumper house	0.8500000000000001	0.75	0.736	0.75	0.75	0.74	0.75	0.90664434
A woman is slicing a pepper which is green	The woman with a knife is slicing a pepper	0.8500000000000001	0.667	0.667	0.667	0.667	0.667	0.667	0.86641866
A person on a bike is jumping through the air and the sun is flaring through the bike frame	The person is flying through the air on the bicycle	0.8500000000000001	0.445	0.445	0.445	0.45	0.45	0.45	0.7234462
A biker with a blue jacket, black pants and a white helmet is driving recklessly on dirt and people watch	A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	0.8500000000000001	0.889	0.885	0.911	0.889	0.871	0.889	0.87838674
Orange juice is being drunk by a man who is walking on a sunny day	A man is drinking orange juice and walking	0.8500000000000001	0.499	0.534	0.67	0.512	0.527	0.512	0.83571315
A man is drinking orange juice and walking on a sunny day	A person is drinking orange juice and walking	0.8500000000000001	0.85	0.879	0.85	0.836	0.865	0.836	0.79214704
The crowd is watching the football at the game	The crowd is watching a football game	0.8500000000000001	0.914	0.909	0.914	0.75	0.904	0.75	0.9684916
An oriental man and two women are in front of a camera	An oriental man and two women are facing a camera	0.8500000000000001	0.752	0.735	0.752	0.753	0.694	0.753	0.9467262
Two small boys dressed in tuxedos are sitting on a red carpeted floor	Two little boys are wearing tuxedos	0.8500000000000001	0.621	0.575	0.621	0.629	0.571	0.629	0.7664531
A young girl in a blue leotard is jumping on the ground	A young girl in a blue leotard is jumping in the air	0.8500000000000001	0.973	0.971	0.973	0.929	0.899	0.929	0.8341117
Two young boys are looking up at the camera and one is sticking out his tongue	The little boy is sticking his tongue out for the camera and another boy is looking on	0.8500000000000001	0.732	0.773	0.732	0.751	0.781	0.751	0.8139715
A brown dog and a black dog are frolicking in the sand	A black dog is playing with a brown dog on the sand	0.8500000000000001	0.712	0.712	0.712	0.692	0.692	0.692	0.8467867
Three men and a woman are standing still for a picture	A woman and three men are posing for a photo	0.8500000000000001	0.724	0.724	0.724	0.746	0.746	0.746	0.79563254
A girl in a band is playing the flute	A girl in a band is playing an instrument	0.8500000000000001	0.951	0.951	0.951	0.942	0.942	0.942	0.71911174
The black dog is walking through the tall grass	The black dog is not running through the grass	0.8500000000000001	0.582	0.679	0.582	0.568	0.619	0.568	0.5068215
Paper is being cut with scissors	The piece of paper is being cut	0.8500000000000001	0.667	0.667	0.667	0.667	0.667	0.667	0.861516
A little boy is sticking his tongue out for the camera and another boy is looking on	Two kids are looking up at the camera and one is sticking out his tongue	0.8500000000000001	0.776	0.817	0.691	0.78	0.768	0.691	0.76946414
Two small boys dressed in tuxedos are standing on a red carpeted floor	Two little boys are wearing tuxedos	0.8500000000000001	0.621	0.575	0.621	0.629	0.571	0.629	0.74576837
A man is performing a jump on a bicycle	A cyclist is performing a jump on a bicycle	0.8500000000000001	0.875	0.875	0.875	0.854	0.854	0.854	0.88163614
A little boy is playing a guitar	A boy is playing guitar	0.8500000000000001	0.857	1.041	0.967	0.857	1.065	0.857	0.98309803
The boy on the grass is lying and is hiding the football between his feet	The football is between the feet of a boy who is lying on the grass	0.8500000000000001	0.706	0.706	0.706	0.706	0.706	0.706	0.81254405
A shirtless man is escorting a horse that is pulling a carriage along a paved road	A shirtless man is escorting a horse that is pulling a carriage along a dirty road	0.8500000000000001	0.95	0.944	0.95	0.95	0.906	0.95	0.9490034
A cat is eating corn on the cob	A cat is eating some corn	0.8500000000000001	0.75	0.75	0.75	0.75	0.75	0.75	0.8460309
A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass	The white dog wearing reindeer ears is near a brown dog	0.8500000000000001	0.476	0.617	0.476	0.476	0.627	0.476	0.6749948
Four people are floating on a raft	People are not riding and paddling a raft	0.8500000000000001	0.348	0.348	0.348	0.348	0.348	0.348	0.38002482
A person in a pink jacket is running onto the field	A person in pink is running onto the field	0.8500000000000001	0.818	0.818	0.818	0.818	0.818	0.818	0.9370365
One white dog and one black one are cheerfully running side by side on the grass	A black and a white dog are joyfully running on the grass	0.8500000000000001	0.789	0.789	0.789	0.807	0.807	0.807	0.71260905
One woman is handing volleyballs to another woman	A woman is receiving volleyballs	0.8500000000000001	0.444	0.57	0.538	0.444	0.557	0.444	0.64059526
The deer is jumping over the low fence	The deer is jumping over the fence	0.8500000000000001	0.889	0.889	0.889	0.889	0.889	0.889	0.9266722
A woman is dancing in a cage	The woman is dancing	0.8500000000000001	0.8	0.8	0.8	0.8	0.8	0.8	0.6716453
A man is snowboarding down a railing in the snow	A person is snowboarding down a railing in the snow	0.8500000000000001	0.584	0.584	0.584	0.56	0.56	0.56	0.8911219
Two men are standing near the water and are holding fishing poles	Two men are holding fishing poles	0.8500000000000001	0.621	0.621	0.621	0.621	0.621	0.621	0.88416946
A dog is herding a pack of white sheep on a dusty farm	A sheepdog is dispersing a herd of sheep	0.8500000000000001	0.364	0.381	0.364	0.421	0.448	0.421	0.70961916
A dog, which has a black coat, is running in the grass and its tongue is hanging out	A black dog is running in the grass	0.8500000000000001	0.393	0.393	0.393	0.393	0.393	0.393	0.7553334
A black and a white dog are joyfully running on the grass	A dog, which has a black coat, and a white dog are running on the grass	0.8500000000000001	0.765	0.765	0.765	0.765	0.765	0.765	0.5981279
A man is skiing down a hill and over a red obstacle	A man is skiing down a hill and jumping a red obstacle	0.8500000000000001	0.909	0.909	0.909	0.909	0.909	0.909	0.9660983
A girl is wearing jeans and a pink shirt and is cheerfully running	A girl is wearing jeans and a pink shirt and is running	0.8500000000000001	0.919	0.919	0.955	0.919	0.919	0.919	0.8164946
A dog is jumping at a shiny blue soccer ball in a field of dry leaves	An animal is jumping at a shiny blue soccer ball in a field of dry leaves	0.8500000000000001	0.927	0.979	0.927	0.93	0.896	0.93	0.88878065
A man is slowly dancing on the road	A man is dancing	0.8500000000000001	0.667	0.667	0.667	0.667	0.667	0.667	0.60618305
The man is chopping a tree trunk with an axe	A man is chopping a log with an axe	0.8500000000000001	0.778	0.778	0.881	0.778	0.778	0.778	0.847487
A shirtless man is escorting a horse that is pulling a carriage along a paved road	A shirtless man is leading a horse that is pulling a carriage	0.8500000000000001	0.625	0.69	0.668	0.625	0.659	0.625	0.86433846
Two women are wearing bikinis and are walking on the sand	Two women are wearing bikinis on the beach which is sandy	0.8500000000000001	0.609	0.609	0.609	0.646	0.646	0.646	0.7823613
A boy is running through the sea at the beach	A boy is running through the water at the beach	0.8500000000000001	0.957	0.957	0.957	0.944	0.944	0.944	0.96411324
A little girl is playing a piano, which is very big, on stage	A little girl is playing the piano	0.8500000000000001	0.727	0.7	0.727	0.727	0.628	0.727	0.7046496
A little girl is playing a grand piano on stage	A little girl is playing a piano, which is very big, on stage	0.8500000000000001	0.846	0.837	0.846	0.9	0.755	0.9	0.9348459
A little girl is playing a grand piano on stage	A little girl is playing the piano	0.8500000000000001	0.8	0.898	0.863	0.8	0.786	0.8	0.6168485
A shirtless man is escorting a horse that is pulling a carriage along a road	A shirtless man is leading a horse that is pulling a carriage	0.8500000000000001	0.667	0.741	0.713	0.667	0.707	0.667	0.8823829
The boy is speedily riding a tricycle	The boy is riding a tricycle	0.84625	0.833	0.833	0.833	0.833	0.833	0.833	0.82106537
The military officer is barking at the recruits	An officer is talking to the recruits	0.84625	0.769	0.769	0.83	0.769	0.769	0.769	0.48694235
A group of five young adults are lounging in the room	A group of five young adults are lounging indoors	0.84625	0.917	0.917	0.917	0.979	0.893	0.979	0.92533493
A monkey is kicking at the gloved hand of a person	A monkey is kicking at a person's glove	0.84125	0.667	0.667	0.754	0.728	0.728	0.728	0.9387348
A white and tan dog is running through the tall and green grass	A white and tan dog is running through a field	0.8374999999999999	0.737	0.737	0.737	0.692	0.692	0.692	0.8906764
People are walking across a rope bridge over a rocky stream	Three people are walking across a rope and wood bridge over a river	0.8374999999999999	0.625	0.667	0.625	0.625	0.623	0.625	0.8321097
The rhino is grazing on the grass	The rhino is being fed on the grass	0.8374999999999999	0.667	0.667	0.667	0.667	0.667	0.667	0.81225735
A topless woman is being smeared with a brown substance and a blurry crowd is in the background	A woman is being smeared with brown substance and a blurry crowd is in the background	0.8374999999999999	0.947	1.01	0.947	0.947	0.925	0.947	0.86232126
A woman is dancing beautifully in a cage	The woman is dancing	0.83375	0.667	0.667	0.667	0.667	0.667	0.667	0.65954584
Two men are riding an orange raft on the beach	Two men are riding an orange raft on the shore	0.8325	0.968	0.965	0.968	0.979	0.948	0.979	0.9132411
The man is putting chicken into the container	A man is putting some food in a box	0.8287500000000001	0.729	0.729	0.729	0.723	0.723	0.723	0.5046863
A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians	0.825	0.945	0.945	0.945	0.948	0.948	0.948	0.8339303
A basketball player is on the court floor and another one is grabbing the ball	Two basketball players are scrambling for the ball on the court	0.825	0.532	0.578	0.532	0.536	0.603	0.536	0.7225364
The man is standing in the water at the base of a waterfall	The man is standing in a body of water near a waterfall	0.825	0.636	0.636	0.636	0.636	0.636	0.636	0.94000864
A girl dressed in purple and blue is slowly walking beside her bike at night	A girl dressed in purple and blue is walking beside her bike at night	0.825	0.955	0.955	0.955	0.955	0.955	0.955	0.94579184
The woman in jeans is sitting on the saddle of a horse	A person wearing jeans is sitting on top of a horse saddle	0.825	0.748	0.748	0.748	0.715	0.715	0.715	0.7588707
A woman in jeans is sitting on the saddle of a horse	A person wearing jeans is sitting on top of a horse saddle	0.825	0.825	0.825	0.825	0.769	0.769	0.769	0.7517389
The brown dog and the gray dog are playing in the snow	Two dogs are playing in the snow	0.825	0.545	0.571	0.545	0.545	0.627	0.545	0.6933636
A large crowd in warm clothing is posing for a camera	A crowd is posing for a large camera man in heavy clothing	0.825	0.615	0.615	0.615	0.615	0.615	0.615	0.6752965
A dog is in the sand that is blowing in the wind	A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background	0.825	0.382	0.382	0.382	0.394	0.394	0.394	0.81042254
Three men are staring at the big green hills in the distance	Three men are looking into the distance	0.825	0.455	0.455	0.455	0.488	0.488	0.488	0.67011756
