sent1	sent2	theme	score
For instance, a finalized schedule of events at an exhibition is sometimes called a program.	The typical example could be of a finalized schedule of events at an exhibition.	plagiarism	3.0
• P(B|A) is the conditional probability of B given A.	P(A|B) is the conditional probability of A, given B.	plagiarism	3.0
Since the PageRank is the most important algorithms which is used in the Google engine.	The PageRank is a recursive algorithm used by Google to determine which webpages are more important than others.	plagiarism	3.0
In the vector space model a document is represented as a vector.	A document is represented as a vector, and each dimension corresponds to a separate term.	plagiarism	3.0
So the same rule applies with keywords and indeed longer phrases.	Single words, keywords and occasionally longer phrases are used for terms.	plagiarism	3.0
Inheritance is a basic concept in object oriented programming.	Inheritance in object oriented programming is a way to form new classes using classes that have already been defined.	plagiarism	3.0
A document is represented as a vector, with each dimension corresponding to a separate term.	A document has representation as a vector.	plagiarism	3.0
In probability theory, Bayes' theorem relates the conditional and marginal probabilities of two random events.	Bayes Theorem is a mathematical formula used to calculate conditional probabilities.	plagiarism	3.0
A website’s page rank, is how ‘important’ it is on the web.	A variation of the PageRank method bases the importance of a webpage on how many visits the page gets.	plagiarism	3.0
If the term doesn’t occur within the document, the value in the vector is zero.	If a term appears in the document, the terms value in the vector is non-zero.	plagiarism	3.0
They also inherit the attributes and methods of its superclass.	The new classes are called derived classes and they inherit the behaviours and attributes of the base classes.	plagiarism	3.0
Bayes’ theorem was names after Rev Thomas Bayes and is a method used in probability theory.	As a formal theorem Bayes theorem is valid in all common interpretations of probability.	plagiarism	3.0
It is also called the posterior probability because it is derived from or depends upon the specified value of B.	It is also called the subsequent probability because it is derived from or depends upon the specified value of B.	plagiarism	3.0
One of the best known schemes is tf-idf weighting, proposed by Salton, Wong and Yang.	tf-idf weighting is one of the most well known schemes.	plagiarism	3.0
The vector space model has the following limitations: 1.	LIMITATION: There is some limitation of vector space model.	plagiarism	3.0
It is intended to help reuse existing code with little or no modification.	The idea of inheritance is to reuse the existing code with little or no modification at all.	plagiarism	3.0
The vector is then constucted of the frequency of eacher word (dimension).	The basic idea is to represent each document as a vector of certain weighted word frequencies.	plagiarism	3.0
The PageRank depends on the PageRank rating and number of all pages that have links to it.	of a particular page is roughly based upon the quantity of inbound links as well as the PageRank?	plagiarism	3.0
Single words, keywords and occasionally longer phrases are used for terms.	The number of unique words in the vocabulary denotes the dimensionality, if words are used for the terms.	plagiarism	3.0
The idea of inheritance is to reuse the existing code with little or no modification at all.	The idea of inheritance in OOP refers to the formation of new classes with the already existing classes.	plagiarism	3.0
It is valid in all common interpretations of probability.	As an official theorem, Bayes' theorem is valid in all universal interpretations of probability.	plagiarism	3.0
The value of a vector is non-zero if a term occurs in the document.	If the term doesn’t occur within the document, the value in the vector is zero.	plagiarism	3.0
When a document is represented as a vector, each dimension corresponds to a separate term.	In the vector space model a document is represented as a vector.	plagiarism	3.0
Inheritance is an important feature in object orientated programming.	The peropos of inheritance in object oriented programming is to minimize the reuse of existing code without modification.	plagiarism	3.0
So in essence it is a popularity contest between WebPages.	It is essentially a popularity meter.	plagiarism	3.0
The basic idea is to represent each document as a vector of certain weighted word frequencies.	In the vector space model a document is represented as a vector.	plagiarism	3.0
Object oriented programming is a style of programming that supports encapsulation, inheritance, and polymorphism.	Inheritance is a basic concept in object oriented programming.	plagiarism	3.0
The vector space model has some limitations: 1.	The limitations of the vector space model are thus.	plagiarism	3.0
The theorem is often used when we have observations and wish to compute posterior probabilities.	Bayes theorem can be used to compute the probability that a proposed diagnosis is correct.	plagiarism	3.0
One of the best known schemes is tf-idf weighting (see the example below).	One of the best known schemes is tf-idf weighting, proposed by Salton, Wong and Yang.	plagiarism	3.0
It is therefore used to create relationships between one object and another.	"It also provides a way to generalize du to the ""is a"" relationship between classes."	plagiarism	3.0
When a document is represented as a vector, each dimension corresponds to a separate term.	A document has representation as a vector.	plagiarism	3.0
If a term appears in the document then its value in the vector is non-zero.	A document is represented as a vector and each dimension corresponds to a separate term.	plagiarism	2.0
If a term exists in a document, its value in the vector is not equal to zero.	A document is represented as a vector, with each dimension corresponding to a separate term.	plagiarism	2.0
A document is represented as a vector, with each dimension corresponding to a separate term.	The basic idea is to represent each document as a vector of certain weighted word frequencies.	plagiarism	2.0
A document is represented as a vector.	The vector space model are the documents which are represented as “bags of words”.	plagiarism	2.0
A document is represented as a vector, with each dimension corresponding to a separate term.	The value of a vector is non-zero if a term occurs in the document.	plagiarism	2.0
To derive the theorem, we begin with the definition of conditional probability.	In probability theory, the prior and conditional probabilities of two random events are related by Bayes' theorem.	plagiarism	2.0
Characterise structure of an optimal solution.	Use these optimal solutions to construct an optimal solution for the original problem.	plagiarism	2.0
When a document is represented as a vector, each dimension corresponds to a separate term.	The basic idea is to represent each document as a vector of certain weighted word frequencies.	plagiarism	2.0
Break up the problem different smaller subproblems.	A problem with overlapping subproblems means that the same subproblems may be used to solve many different larger problems.	plagiarism	2.0
P(A) is the probability of the student being a girl (which is 2/5).	What is the probability this student is a girl?	plagiarism	2.0
This is highly used in dynamic programming.	There are four steps in Dynamic Programming: 1.	plagiarism	2.0
A term which occurs in the document has a value in the vector of non-zero.	A document is represented as a vector, with each dimension corresponding to a separate term.	plagiarism	2.0
When a document is represented as a vector, each dimension corresponds to a separate term.	To explain further vector space models, basically a document is characterized by a vector.	plagiarism	2.0
Terms are basically the words or any indexing unit used to identify the contents of a text.	In this classic model the term specific weights in the document vectors are products of local and global parameters.	plagiarism	2.0
The vector space model are the documents which are represented as “bags of words”.	In vector space model, the documents from which the information is to be retrieved are represented as vectors.	plagiarism	2.0
When any sub-problem is met again, it can be found and re-used to solve another problem.	It was intended to allow existing code to be used again with minimal or no alteration.	plagiarism	2.0
The vector space model are the documents which are represented as “bags of words”.	The limitations of the vector space model are thus.	plagiarism	2.0
This is highly used in dynamic programming.	The key to Dynamic Programming is to find the structure of optimal solutions.	plagiarism	2.0
The differing application has a direct influence on what the definition of the term means.	Terms are basically the words or any indexing unit used to identify the contents of a text.	plagiarism	2.0
As a formal theorem, Bayes' theorem is valid in all common interpretations of probability.	Bayes theorem can be used to compute the probability that a proposed diagnosis is correct.	plagiarism	2.0
It is mainly used to calculate the probability of one event’s outcome given that a previous event happened.	It is also called the posterior probability because it is derived from or depends upon the specified value of B.	plagiarism	2.0
The algebraic model for representing text documents and objects as vectors of identifiers is called the vector space model.	The limitations of the vector space model are thus.	plagiarism	2.0
It is used in information filtering, information retrieval, indexing and relevancy rankings.	A possible use for a vector space model is for retrieval and filtering of information.	plagiarism	2.0
Vector space representation results in the loss of the order which the terms are in the document.	If a term occurs in the document, the value will be non-zero in the vector.	plagiarism	1.0
Inheritance in object oriented programming is a way to form new classes using classes that have already been defined.	The peropos of inheritance in object oriented programming is to minimize the reuse of existing code without modification.	plagiarism	1.0
The algebraic model for representing text documents and objects as vectors of identifiers is called the vector space model.	A possible use for a vector space model is for retrieval and filtering of information.	plagiarism	1.0
Secondly to define the value of the optimal solution recursively.	Generalise the structure of an optimal solution 2.	plagiarism	1.0
There are two main approaches for dynamic programming.	There are four steps in Dynamic Programming: 1.	plagiarism	1.0
P(A), or the probability that the student is a girl regardless of any other information.	It is mainly used to calculate the probability of one event’s outcome given that a previous event happened.	plagiarism	1.0
In vector space model, the documents from which the information is to be retrieved are represented as vectors.	The vector space model has several disadvantages.	plagiarism	1.0
A term which occurs in the document has a value in the vector of non-zero.	The order in which the terms appear in the document is lost in the vector space representation.	plagiarism	1.0
Vector space representation results in the loss of the order which the terms are in the document.	In the vector space model a document is represented as a vector.	plagiarism	1.0
A page that is linked to by many pages with high PageRank receives a high rank itself.	A link to a page is seen as a vote of support.	plagiarism	1.0
The PageRank is computed iteratively, and it is found that the PageRank values converge fairly rapidly.	The PageRank depends on the PageRank rating and number of all pages that have links to it.	plagiarism	1.0
In the vector space model a document is represented as a vector.	A possible use for a vector space model is for retrieval and filtering of information.	plagiarism	1.0
If a term appears in the document, the terms value in the vector is non-zero.	Each item in the vector represents a different keyword.	plagiarism	1.0
Finally, the order in which the terms appear in the document is lost in the vector space representation.	A term which occurs in the document has a value in the vector of non-zero.	plagiarism	1.0
Following this, each web page is given a ranking of 0-10 according to its relevance to a search.	A variation of the PageRank method bases the importance of a webpage on how many visits the page gets.	plagiarism	1.0
Lucky Joe likes to predict the colour of the ball he selects and he is 80% accurate.	Joe records all of his results and about 0.5% of the time he accidently records the wrong results.	plagiarism	1.0
In probability theory, Bayes' theorem relates the conditional and marginal probabilities of two random events.	Bayes' theorem is useful in evaluating the result of drug tests.	plagiarism	1.0
Outbound, links from your page to others.	Dangling, links to a page which has no links to others.	plagiarism	1.0
Vector space representation results in the loss of the order which the terms are in the document.	In vector space model, the documents from which the information is to be retrieved are represented as vectors.	plagiarism	1.0
If a term appears in the document, the terms value in the vector is non-zero.	Vector space representation results in the loss of the order which the terms are in the document.	plagiarism	1.0
In vector space model, the documents from which the information is to be retrieved are represented as vectors.	Finally, the order in which the terms appear in the document is lost in the vector space representation.	plagiarism	1.0
The value of a vector is non-zero if a term occurs in the document.	Each document is a vector where each word is a dimension.	plagiarism	1.0
Other possible uses for vector space models are indexing and also to rank the relevancy of differing documents.	In this classic model the term specific weights in the document vectors are products of local and global parameters.	plagiarism	1.0
The correct answer can be computed using Bayes' theorem.	Bayes' theorem is useful in evaluating the result of drug tests.	plagiarism	1.0
The basic idea is to represent each document as a vector of certain weighted word frequencies.	If a term appears in the document, the terms value in the vector is non-zero.	plagiarism	1.0
P(B) is the prior or marginal probability of B, and acts as a normalizing constant.	P(B|A) is the conditional probability of B given A.	plagiarism	1.0
This method is used in the Google Toolbar, which reports back actual site visits to Google.	In order to prevent spamming, Google releases little information on the way in which a PageRank is calculated.	plagiarism	1.0
P(B) is the prior or marginal probability of B, and acts to normalise the probability.	P(A), or the probability that the student is a girl regardless of any other information.	plagiarism	1.0
The order in which terms appear in the document is lost in a vector space representation.	In vector space model, the documents from which the information is to be retrieved are represented as vectors.	plagiarism	1.0
The basic idea is to represent each document as a vector of certain weighted word frequencies.	A term which occurs in the document has a value in the vector of non-zero.	plagiarism	1.0
Java allows object inheritance.	Inheritance is one of the basic concepts of Object Oriented Programming.	plagiarism	1.0
Virtual attributes and methods can be shadowed/overridden.	In Java all attributes and methods are implicitly virtual.	plagiarism	1.0
In the vector space model a document is represented as a vector.	The vector space model are the documents which are represented as “bags of words”.	plagiarism	1.0
The peropos of inheritance in object oriented programming is to minimize the reuse of existing code without modification.	In object oriented programming inheritance is also dependant on access level modifiers.	plagiarism	1.0
When a document is represented as a vector, each dimension corresponds to a separate term.	The value of a vector is non-zero if a term occurs in the document.	plagiarism	1.0
The vector space model is one of these methods, and it is an algebraic model.	In vector space model, the documents from which the information is to be retrieved are represented as vectors.	plagiarism	1.0
The vector space model has several disadvantages.	A document has representation as a vector.	plagiarism	1.0
The peropos of inheritance in object oriented programming is to minimize the reuse of existing code without modification.	However, the key in Dynamic Programming is to determine the structure of optimal solutions.	plagiarism	1.0
The order in which the terms appear in the document is lost in the vector space representation.	If the term doesn’t occur within the document, the value in the vector is zero.	plagiarism	1.0
The value of a vector is non-zero if a term occurs in the document.	The order in which the terms appear in the document is lost in the vector space representation.	plagiarism	1.0
The similarity measures largely identify the retrieval efficiency of a particular information retrieval system.	It is used in information retrieval and was first used in the SMART Information Retrieval System.	plagiarism	1.0
The vector space model is one of these methods, and it is an algebraic model.	The vector space model has the following limitations: 1.	plagiarism	1.0
• P(A|B) is the conditional probability of A, given B.	P(B) (a.k.a. the normalizing constant) is the prior or marginal probability of B.	plagiarism	1.0
Generalise the structure of an optimal solution 2.	Use these optimal solutions to construct an optimal solution for the original problem.	plagiarism	1.0
The vector space model is one of these methods, and it is an algebraic model.	The vector space model has several disadvantages.	plagiarism	1.0
If the term doesn’t occur within the document, the value in the vector is zero.	Finally, the order in which the terms appear in the document is lost in the vector space representation.	plagiarism	1.0
In probability theory, the prior and conditional probabilities of two random events are related by Bayes' theorem.	Bayes' Theorem is a theorem of probability theory originally stated by the Reverend Thomas Bayes.	plagiarism	1.0
The order in which terms appear in the document is lost in a vector space representation.	If a term occurs in the document, the value will be non-zero in the vector.	plagiarism	1.0
Inheritance is one of the basic concepts of Object Oriented Programming.	In object oriented programming inheritance is also dependant on access level modifiers.	plagiarism	1.0
This can be useful when the number of times a word appears is not considered important.	One of the most important uses of page rank is its meaning to advertising.	plagiarism	0.0
The easiest way to look at inheritance is as an “…is a kind of” relationship.	An example of this gain in efficiency is a path-finding problem.	plagiarism	0.0
Vector space representation results in the loss of the order which the terms are in the document.	Since the PageRank is the most important algorithms which is used in the Google engine.	plagiarism	0.0
"Thus, the ""program"" is the optimal plan for action that is produced."	After this, it is using this to pick the best overall path.	plagiarism	0.0
"It doesn't take into account any information about B, so it is ""prior""."	However an object cannot be cast to a class which is no relative of it.	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	They do not have to be written in a computer language.	plagiarism	0.0
Thus, the program is the best plan for action that is produced.	The other method is the top down approach which is a method that combines memorization and recursion.	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	It is similar to divide and conquer, however is differentiated as its subproblems are not independent.	plagiarism	0.0
Occasionally it is advantageous to differentiate between these uses, as it is not necessarily noticeable from context.	"It also provides a way to generalize du to the ""is a"" relationship between classes."	plagiarism	0.0
Occasionally it is advantageous to differentiate between these uses, as it is not necessarily noticeable from context.	It is similar to divide and conquer, however is differentiated as its subproblems are not independent.	plagiarism	0.0
Mathematicians use the word to describe a set of rules which anyone can follow to solve a problem.	However an object cannot be cast to a class which is no relative of it.	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	The main problem is divided into sub problems which are solved and stored for future use.	plagiarism	0.0
Most of these languages provide an “extend” keyword, which is used to subclass another.	For example, a program could exist to model different forms of transport.	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	It is therefore used to create relationships between one object and another.	plagiarism	0.0
This can be useful when the number of times a word appears is not considered important.	The easiest way to look at inheritance is as an “…is a kind of” relationship.	plagiarism	0.0
There is also Conditional Probability which is usually interested in the way variables relate to each other.	The PageRank is a recursive algorithm used by Google to determine which webpages are more important than others.	plagiarism	0.0
To achieve this, the programmer has to note generalisations and similarities about various aspects of the program.	Mathematicians use the word to describe a set of rules which anyone can follow to solve a problem.	plagiarism	0.0
The method can be abused when people deliberately link to sites in order to raise a site's PageRank.	Mathematicians use the word to describe a set of rules which anyone can follow to solve a problem.	plagiarism	0.0
Google’s payoff is that it gets to track the behaviour of actual users.	After this, it is using this to pick the best overall path.	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	There is also Conditional Probability which is usually interested in the way variables relate to each other.	plagiarism	0.0
"Thus, the ""program"" is the optimal plan of action that is being produced."	The easiest way to look at inheritance is as an “…is a kind of” relationship.	plagiarism	0.0
To achieve this, the programmer has to note generalisations and similarities about various aspects of the program.	The advantage being the less time consumption in comparison to other amateur methods.	plagiarism	0.0
This can be useful when the number of times a word appears is not considered important.	It is mainly used to calculate the probability of one event’s outcome given that a previous event happened.	plagiarism	0.0
Mathematicians use the word to describe a set of rules which anyone can follow to solve a problem.	Instead, a new object is made to inherit properties of objects which already exist.	plagiarism	0.0
The other method is the top down approach which is a method that combines memorization and recursion.	The easiest way to look at inheritance is as an “…is a kind of” relationship.	plagiarism	0.0
P(A), or the probability that the student is a girl regardless of any other information.	Later versions of PageRank (see the below formulas) would assume a probability distribution between 0 and 1.	plagiarism	0.0
To achieve this, the programmer has to note generalisations and similarities about various aspects of the program.	Terms are basically the words or any indexing unit used to identify the contents of a text.	plagiarism	0.0
However an object cannot be cast to a class which is no relative of it.	Here by meaning that a program can be an optimal plan for the produced action.	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	Occasionally it is advantageous to differentiate between these uses, as it is not necessarily noticeable from context.	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	This can be useful when the number of times a word appears is not considered important.	plagiarism	0.0
The way that a 'term' is defined depends on the application.	The easiest way to look at inheritance is as an “…is a kind of” relationship.	plagiarism	0.0
"Therefore, the ""program"" is the optimal plan for action that is produced."	Since the PageRank is the most important algorithms which is used in the Google engine.	plagiarism	0.0
Without a proof of correctness, such an algorithm is likely to fail.	However an object cannot be cast to a class which is no relative of it.	plagiarism	0.0
The other method is the top down approach which is a method that combines memorization and recursion.	Since the PageRank is the most important algorithms which is used in the Google engine.	plagiarism	0.0
Thus, the program is the best plan for action that is produced.	After this, it is using this to pick the best overall path.	plagiarism	0.0
This can be useful when the number of times a word appears is not considered important.	It has no relationship to computer programming; instead it is a process of finding a satisfactory algorithm.	plagiarism	0.0
Then, using this, the best overall path can be found, thereby demonstrating the dynamic programming principle.	The further down an inheritance tree you get, the more specific the classes become.	plagiarism	0.0
To achieve this, the programmer has to note generalisations and similarities about various aspects of the program.	It is similar to divide and conquer, however is differentiated as its subproblems are not independent.	plagiarism	0.0
The further down an inheritance tree you get, the more specific the classes become.	The differing application has a direct influence on what the definition of the term means.	plagiarism	0.0
The easiest way to look at inheritance is as an “…is a kind of” relationship.	"It also provides a way to generalize du to the ""is a"" relationship between classes."	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	"It is ""prior"" in the sense that it does not take into account any information about B."	plagiarism	0.0
This means that inheritance is used when types have common factors and these would be put into the superclass.	The method can be abused when people deliberately link to sites in order to raise a site's PageRank.	plagiarism	0.0
Spain Princess Testifies in Historic Fraud Probe	Spain princess testifies in historic fraud probe	headlines	5.0
Senate confirms Obama nominee to key appeals court	Senate approves Obama nominee to key appeals court	headlines	5.0
U.N. rights chief presses Egypt on Mursi detention	UN Rights Chief Presses Egypt on Morsi Detention	headlines	5.0
US Senate confirms Janet Yellen as US Federal Reserve chief	Senate confirms Janet Yellen as next Federal Reserve Chair	headlines	5.0
Syrian Rebel Groups Battle Each Other in North	Syrian rebel groups battle each other in north	headlines	5.0
Rocks, Tear Gas Fly as Thai Protests Heat Up	Rocks, tear gas fly as Thai protests heat up	headlines	5.0
Boston bombing suspect buried in Virginia	Boston bomb suspect buried in Virginia cemetery	headlines	5.0
Six dead in Philippine restaurant blast	6 killed in Philippines restaurant blast	headlines	5.0
China army newspaper hits out at US's PRISM programme	China army newspaper slams US's PRISM program	headlines	5.0
Two killed in Bahrain car explosion	Two killed in Bahrain car blast	headlines	5.0
Russia warns it will respond if interests attacked in Ukraine	Russia warns it will 'respond' if interests in Ukraine attacked	headlines	5.0
Couple marry in the UK's first Scientology wedding	Couple get married in Britain's first Scientology wedding	headlines	5.0
Russian opposition leader under house arrest	Russian Opposition Leader Placed Under House Arrest	headlines	5.0
Senate confirms Janet Yellen as chair of US Federal Reserve	Senate confirms Janet Yellen as next Federal Reserve Chair	headlines	5.0
Venezuela lawmakers brawl amid election tensions	Venezuela lawmakers brawl over election	headlines	5.0
North Korea Warns Foreigners in South, Advising Evacuation	North Korea warns foreigners in South to evacuate	headlines	5.0
Israel confirms strike on Syria targeted weapons	Israel officials: Strike on Syria targeted weapons	headlines	5.0
Death toll in Syria now tops 100,000	Death toll in Syria over 100,000 so far	headlines	5.0
Iran Nuclear Talks Enter Third Day	Iran nuclear talks enter crucial third day	headlines	5.0
Jurors find Jodi Arias eligible for death penalty	Jodi Arias eligible for death penalty, jury says	headlines	5.0
Over 100 dead as typhoon slams central Philippines	At least 100 dead as typhoon batters Philippines	headlines	5.0
US Supreme Court limits president's recess appointments power	High court checks President's recess appointment power	headlines	5.0
What makes India vote? Jaipur Lit Fest debates	What makes India vote? Debate at Jaipur Literature Festival	headlines	5.0
Hamas Urges Hizbullah to Pull Fighters Out of Syria	Hamas calls on Hezbollah to pull forces out of Syria	headlines	5.0
Stocks edge lower following retail earnings	Stocks edge lower after earnings from retailers	headlines	5.0
Mt Gox reveals 200,000 'forgotten' bitcoin haul	Mt Gox finds 200,000 'forgotten' bitcoins	headlines	5.0
Chinese lunar rover lands on moon	China lands robot rover on moon	headlines	5.0
Spain approves new restrictive abortion law	Spanish government approves tight restrictions on abortion	headlines	5.0
German ambassador's Athens residence shot at	Shots fired at German ambassador's residence in Athens	headlines	5.0
Napolitano elected for second term as Italy president	Italian President Napolitano elected for second term	headlines	5.0
North Korea says to put US citizen on trial	North Korea says detained American tourist to face trial	headlines	5.0
Mandela spends third day in hospital	Mandela in Hospital for 3rd Day	headlines	5.0
Murray ends 77-year wait for British win	Murray wins Wimbledon title ends Britains 77year agony	headlines	5.0
Pope calls for action on climate change in draft encyclical	Pope urges action on climate change in draft encyclical	headlines	5.0
Who Is Jihadi John?	Who was 'Jihadi John?'	headlines	5.0
Iran, IAEA Officials Meet Ahead of March Nuclear Deadline	Iran, IAEA officials meet ahead of March nuclear deadline: ISNA	headlines	5.0
U.S., EU Widen Sanctions On Russia	U.S., EU Boost Sanctions On Russia	headlines	5.0
US Attorney General Holder resigns	Attorney General Eric Holder to Resign	headlines	5.0
AbbVie Sours on $55B Shire Deal After Tax Changes	AbbVie cools on $55bn Shire deal after US tax changes	headlines	5.0
Hawaii preps for first hurricane in 22 years	Hawaii bracing as first hurricane in 22 years approaches	headlines	5.0
Oil falls in Asian trade	Oil prices down in Asian trade	headlines	5.0
Driver backs into stroller with child, drives off	Driver backs into mom, stroller with child then drives off	headlines	4.0
Uganda's president signs anti-gay bill	Uganda's president signs harsh anti-gay law	headlines	4.0
Silvio Berlusconi expelled from Italy's parliament	Silvio Berlusconi expelled from parliament	headlines	4.0
Hosni Mubarak retrial adjourned until 8 June	Mubarak retrial adjourned to June	headlines	4.0
Egypt protesters defy cabinet threat to end sit-ins	Egypt protesters defy cabinet threat	headlines	4.0
Qatar's emir hands power to his son	Qatari emir hands power to son Tamim	headlines	4.0
Egypt braces for 'Friday of anger' after carnage	Egypt braces for Friday of anger after bloody crackdown	headlines	4.0
Red Sox Beat Tigers 5-2 to Advance to World Series	Red Sox beat Tigers to reach World Series	headlines	4.0
China lands Jade Rabbit robot rover on Moon	China lands robot rover on moon	headlines	4.0
Ukrainian parliament dismisses president	Ukraine's parliament votes to dismiss president	headlines	4.0
Captain of sunken South Korean ferry arrested	Captain of capsized S Korean Ferry Arrested	headlines	4.0
Communist rebels ambush Philippine police, kill 7	Communist rebels kill eight Philippine police	headlines	4.0
Woman dies while riding roller coaster in Texas	Woman dies riding roller coaster at Texas amusement park	headlines	4.0
Nobel author Doris Lessing dies at 94	Nobel Prize winning author Doris Lessing dies	headlines	4.0
First post office savings bank ATM opens in Chennai	India's first post office savings bank ATM inaugurated in Chennai	headlines	4.0
Twitter reports blocking in Venezuela	Twitter says images blocked in Venezuela	headlines	4.0
British stuntman fell to his death in wing suit mishap	British stuntman dies in wingsuit mishap in Alps	headlines	4.0
Euro crisis is over, says France's Francois Hollande	Eurozone debt crisis is over, says France's President	headlines	4.0
White diamond breaks record in Hong Kong auction	White diamond fetches record $34m at HK auction	headlines	4.0
Treasury proposal sees 1.5% increase in income tax	Treasury proposes 1.5% income tax raise in budget	headlines	4.0
PSNI failed RUC officers, tribunal told	13:23 PSNI 'failed RUC officer families'	headlines	4.0
Police helicopter crashes into Scottish pub	Police helicopter crashes on top of bar in Glasgow	headlines	4.0
US ups pressure on Israel as UN demands Gaza truce	US, UN up pressure on Israel over Gaza	headlines	4.0
Australian PM says 'Very confident' signals are from black box	Australian PM confident sounds are from Flight 370	headlines	4.0
Philippe becomes king of Belgium	Philippe ascends throne of divided Belgium	headlines	4.0
India anti-graft party takes charge in New Delhi	India's Anti-Graft Party Forms Government in Delhi	headlines	4.0
More than 100 injured in Texas plant blast	Hundreds believed injured in Texas fertiliser plant blast	headlines	4.0
UN court convicts 6 Bosnian Croats of atrocities	UN War Crimes Court Convicts Six Bosnians Croats	headlines	4.0
Saudi man with pressure cooker arrested at Detroit airport	Saudi Man Traveling With Pressure Cooker Arrested	headlines	4.0
Rallies demand 'Justice for Trayvon'	Across US, people rally for 'Justice for Trayvon'	headlines	4.0
Hagel, Dempsey face Congress over defense budget	"Hagel laments ""political"" changes to US defence budget"	headlines	4.0
Ukrainian presidency says deal reached at crisis talks	Ukraine rivals sign deal to end crisis	headlines	4.0
Syria's PM escapes assassination try, regime says	Syrian prime minister survives assassination attempt	headlines	4.0
South Korean soldier reportedly flees after killing 5 comrades at border with North Korea	South Korean Soldier Kills Comrades And Flees	headlines	4.0
US Attorney General Holder resigns	US Attorney general Eric Holder to resign	headlines	4.0
Hajj to go ahead despite crane collapse, officials vow	Hajj to go ahead despite crane collapse	headlines	4.0
China on high alert for typhoon Kalmaegi	China issues yellow alert for typhoon Kalmaegi	headlines	4.0
Tokyo shares open higher over buoyant U.S. market	Tokyo shares open higher tracing U.S. gains	headlines	4.0
Tokyo shares open higher on buoyant U.S. market	Tokyo shares open higher following strong U.S. performance	headlines	4.0
Lewis Hamilton Takes Pole for Russian GP	Lewis Hamilton wins inaugural Russian GP	headlines	4.0
Suspected Boko Haram suicide bombers in Nigeria kill 24	Suspected Boko Haram attacks kill dozens in Nigeria	headlines	4.0
Mayawati demands president's rule in Kashmir	Mayawati demands Presidents rule in Jammu and Kashmir	headlines	3.0
Philippines typhoon death toll feared to hit 7,000	Philippines typhoon death toll rises above 5,000	headlines	3.0
Cars, drivers plunge into river after Wash. I-5 bridge collapse	Cars plunge into river as US bridge collapses	headlines	3.0
Egypt's Morsi faces trial for prison break, murder, says prosecution	Egypt's Morsi faces trial for prison break	headlines	3.0
Thai army declares martial law	Thailand's army declares martial law, denies coup	headlines	3.0
Israel agrees to 12 hour ceasefire	Israel agrees to 24-hour Gaza truce	headlines	3.0
Quake of 6.2 magnitude strikes off Indonesia's Sumatra - USGS	Earthquake of 6.9 magnitude strikes off Indonesia island	headlines	3.0
Chinese satellite spots large object in search area	Malaysia: Chinese satellite found object in ocean	headlines	3.0
Goa building collapse death toll touches 15	Indian building collapse deaths rise to 14	headlines	3.0
Pak religious body endorses underage marriage	CII endorses underage marriage	headlines	3.0
EU Ministers of Employment and Social policy will discuss how to boost employment, integrate social and economic policies	EU Ministers of Employment and Social policy to discuss employment boosting strategies	headlines	3.0
U.S. and Russia reach a deal on Syria's chemical weapons	China welcomes US, Russia deal on Syria chemical weapons	headlines	3.0
Oklahoma examines what went wrong in botched execution	Okla. inmate dies of heart attack after botched execution	headlines	3.0
Thai protests escalate amid violence	Thai protesters call general strike	headlines	3.0
Egypt imposes state of emergency after 95 people killed	Egypt announces one-month state of emergency nationwide	headlines	3.0
UN warns of plight of women, children in Syria's Homs	UNICEF calls for immediate safe access to women, children in Homs	headlines	3.0
Sony to sell PC unit and cut jobs	Sony to axe PC unit in major business overhaul	headlines	3.0
Protests after George Zimmerman acquitted in Trayvon Martin case	Zimmerman acquitted in slaying	headlines	3.0
Jordan elected to take Saudi seat on UN Security Council	Jordan elected to UN security council seat that Saudi Arabia rejected	headlines	3.0
Maldives begins to vote in controversy-ridden presidential poll	Crisis-hit Maldives holds new presidential poll	headlines	3.0
Police surround protesters in Belfast ahead of G8	Peaceful anti-G8 protest held in Belfast	headlines	3.0
Ten rescued off Waterford, Dublin coasts	Six rescued after boat capsizes in Dublin Bay	headlines	3.0
World Cup hit by new stadium death	Worker dies at World Cup stadium	headlines	3.0
Greece reaches agreement with troika, bailout tranche expected within days	Debt inspectors reach agreement with Greece	headlines	3.0
Senior CPC official meets top DPRK leader's special envoy	North Korean leader sends 'special envoy' to China	headlines	3.0
US House Republicans elect Paul Ryan as speaker	US House Republicans eye reluctant Ryan for speaker	headlines	3.0
Top Asian News at 4:00 p.m. GMT	Top Asian News 8:39 a.m. GMT	headlines	3.0
Headlines in major Iranian newspapers on Sept 27	Headlines in several Iranian newspapers on Oct 19	headlines	3.0
Saudi-led airstrikes hit Yemeni capital	Saudi airstrikes in Yemen's capital kill 29	headlines	3.0
