sent1	sent2	theme	score
"In fact, it is not interested too the bus, but rather the points system, the maximum speed on the motorway and the use of mobile at the wheel, ""said the expert Horˇín."	"In fact, it is not so much interested by the bus itself, but rather by the points system, the maximum speed on the motorway and the use of mobile phones while driving,"" said the expert Horˇín."	postediting	
But that would require also some efforts from Damascus.	But that would require also some efforts from Damascus.	postediting	
But that is precisely that would seem strange the CˇTÚ.	But that is precisely what should seem strange to the CˇTÚ.	postediting	
Moreover, it is these bills that were found in the raid on the office of Árpád Kemecsei, at the Ministry of Education.	Moreover, it is these bills that have been found in the raid on the office of Árpád Kemecsei, the Ministry of Education.	postediting	
There are even people who swear: if Obama wins, we leave the United States.	There is even people who swear: If Obama wins, we leave the United States.	postediting	
But the court was told that Ms Randle, assiduous volunteer of National Trust, was haunted by the abuses that had been inflicted on her twice a week.	But the court was told that Ms Randle, assiduous volunteer of National Trust, was haunted abuses that it had been inflicted twice a week.	postediting	
But we must not give up so easily.	But we must not give up so easily.	postediting	
Almost two Republicans out of three rejected his plan.	Almost two Republicans on three rejected his plan.	postediting	
This 1: 0 (1: 0 at half-time), the team of Hamburg the needs to a successful in the head by Mladen Petric (at the eleventh hour); and the fact that the very low Gladbach players could not do any harm to the weak players of Hamburg.	This 1: 0 scoreline (1: 0 at half-time), Hamburg owed to a successful strike off the head by Mladen Petric (in the 11th minute); and the fact that the weak Gladbach players weren't able to do any harm to the weak Hamburg players.	postediting	
No, not Mr, I am Spanish but I have lived here thinking two years.	No, sir I am Spanish but I have lived here two years.	postediting	
Young and opponents were demonstrating Sunday evening in the main square in the capital of Belarus to reject in advance of the elections.	Demonstrations by the dissenting young on Sunday evening in the main square in the capital of Belarus to reject the legislative results in advance.	postediting	
"'Four hundred prominent professors of economy, including three Nobel Prize winners, have written to tell us: we request Congress not to hurry but carefully examine the route to be taken,"" he said yesterday."	"'Four hundred prominent professors economy, including three Nobel Prize, we have written to tell us: We request to Congress not to press and carefully examine the way to take, ""he said yesterday."	postediting	
In New York, Wall Street opened with losses sensitive.	In New York, Wall Street opened with marked losses.	postediting	
Young people have recognised the facts that they are accused. For the moment, they are accused of complicity.	The youth have recognised the fact that they are accused. For the moment, they are accused of complicity.	postediting	
On trade terms, the stock exchange of Prague fell	After the fall of Tuesday morning, the stock exchange of Prague regained its losses.	postediting	
On the road, someone nails yellow hats to the trees, the signs and even an election poster of a large Bavarian People's Party, so as to easily find the return path.	On the road, someone firm hats yellow the trees to return to the path, the signs and even an election poster of a large Bavarian People's Party.	postediting	
The global financial crisis has a significant impact on the falling stock markets.	The global financial crisis has a significant impact on the markets of actions that are falling.	postediting	
At that time we witnessed the outbreak many cases of the human form of mad cow disease in Europe, a new variant of Creutzfeldt-Jakob disease, recounts the one that stood strong since its founding in 1998.	At that time it was in Europe to the outbreak many cases of the human form of mad cow disease, a new variant of Creutzfeldt-Jakob disease, tells the one that takes the strong since its founding in 1998.	postediting	
Only a few days ago, the big investor Warren Buffett was involved in society.	Only a few days ago, the big investor Warren Buffett was involved in society.	postediting	
But I think it has appreciated the end of the match.	But I think he appreciated the end of the match.	postediting	
In this way, the ODSZ has abandoned its originally planned boycott.	In this way, the ODSZ has abandoned its is boycotting originally planned.	postediting	
"'I want to become a young mother; the candidate does not worry me """	"'I want to become a young mother; the candidate I am not worried """	postediting	
In Hong Kong, the Hang Seng index has gone awry by 2.1 percent to 18.286,90 points.	In Hong Kong, the Hang Seng index-has gone awry 2.1 percent to 18.286,90 points.	postediting	
And do not forget the deposit.	And do not forget the deposit.	postediting	
"Despite these circumstances, as a photographer, I always attempt to convert my ideas into reality""."	"""However, once I have the impression that this is a risky job, I will remove it."	postediting	
"The political analyst David Gergen believe that the performance of John McCain, although honourable, was not sufficiently ""brilliant"" to allow him to halt the decline in the polls for the presidential elections that he had been seeing for five weeks."	"The political analyst David Gergen believe that the provision of John McCain, although honourable, has not been sufficiently ""brilliant"" to allow it to halt the decline in the polls to five weeks of the presidential elections."	postediting	
Negotiations to ransom are already underway.	Negotiations for the ransom are already underway.	postediting	
"""Sometimes what one feels goes beyond any expression, and now I have lost a great friend,"" wept Robert Redford, ""my life and my country were better thanks to its existence."	"""Sometimes what one feels goes beyond any expression, and now I have lost a great friend,"" began crying Robert Redford, ""my life and my country were better thanks to its existence."	postediting	
Andik, the owner of Mango galant, a man, and the Baron of Rotchil have finished the evening without jacket because they had lent to two women.	Andik, the owner of Mango, a galant man, and the Baron of Rotchil finished the evening without their jackets because they had lent them to two women.	postediting	
It has not failed to describe the economic ideas of McCain of outdated.	He did not failed to describe the economic ideas of McCain as outdated.	postediting	
The first time this happens may surprise you, but in reality it does not matter.	The first time this has happened that may surprise you, but in reality it does not matter.	postediting	
To produce energy on a large scale, however, we must use of technology with a higher environmental impact.	To produce energy on a large scale, however, we must use technology with a higher environmental impact.	postediting	
As bold in life as in her literature, Hurston led readers to a shop owned by the first mayor of Eatonville, Mr Joe Clarke, which was then divided into several private parts.	Such a bold drum in life as in literature, Hurston led readers the shop of ownership of the first mayor of Eatonville, Mr Joe Clarke, who was then divided into several private parties.	postediting	
The same man who milita for civil rights was also the car pilot who classa second to the Mans 24 hours in 1979, doubled of a sex symbol, albeit a member of a couple model formed since 1958 with the actress Joanne Woodward were.	The same man who fought for civil rights was also the racer who finished second at the Mans 24 hours in 1979, doubled of a sex symbol, albeit part of a model couple formed in 1958 with the actress Joanne Woodward.	postediting	
The market for students try does not know of crisis	The market for student accomodation does not know of crisis	postediting	
The proposal of this potential acquisition was made public in the meeting of this month.	The proposal of this potential acquisition was made public in the meeting of this month.	postediting	
Staying the night would involve unnecessary costs, explains Marco.	Night would involve unnecessary costs, explains Marco.	postediting	
The global financial crisis has a significant impact on the markets of actions that are falling.	The global financial crisis has a significant impact on the falling stock markets.	postediting	
The documents that he has lost contained assessments on Al-Qaeda and the resources of the security forces in Iraq.	The documents that he has lost contained assessments on Al-Qaeda and the resources of the security forces in Iraq.	postediting	
The installation in all the institutions of the Presidency of the Council is complete with the Palais Chigi.	In the 1950s, the dispute on the mix of races led hatred the gates of the community.	postediting	
No one with operator, however, is against such a procedure.	No operator, however, is against such a procedure.	postediting	
It should discourage drivers from driving fast and of drunk-driving.	The office of the minister Alesˇ Rˇebícˇek thinks it will discourage drivers from dangerous driving.	postediting	
It is difficult to say, if such a concept would be likely to walk at home.	It is difficult to say, if such a concept would be likely to work at home.	postediting	
And if we start to list all his appearances, we could also mention the strapping moustachu who lifted weights in a travelling circus.	And if we start to list all his appearances, it could also mention the strapping moustachu who raised the weight in a travelling circus.	postediting	
The state financier had, according to a newspaper article, refinanced itself in a very short term for projects in the long term for which it had borrowed money - which is no longer possible given the distrust towards the markets.	Financial the state was, according to a newspaper article, refinanced in the very short term for projects in the long term for which he had borrowed money - which is no longer possible for the fact of distrust of the markets.	postediting	
It belongs exclusively to the Office for the protection of economic competition (ÚOHS).	It is exclusively to the Office for the protection of economic competition (ÚOHS).	postediting	
At the end of last April, the City Council of Gioia Tauro had been dissolved; already in 1991, and always because of alleged pacts between organised crime and the local government, local politicians had been released from their function to administer the City.	At the end of April, the City Council of Gioia Tauro was dissolved; already in 1991, and always because of alleged packs between organised crime and local government, local politicians had been released from their function to administer the City.	postediting	
"- It has ajouté- ""we must make a further effort on the communication and awareness of public opinion."	"He added - ""we must make a further effort on the communication and awareness of public opinion."	postediting	
It was a blow for everyone.	It was a blow for everyone.	postediting	
Last week a delay has happened in the new version of Windows Mobile 7.	Last week a delay happened in the release of the new version of Windows Mobile 7.	postediting	
McCain, on his part wanted to build a fleet of 45 nuclear power plants by 2030.	McCain, he wanted to build a fleet of 45 nuclear power plants by 2030.	postediting	
A cockroach flees before danger, but does it feel fear?	A cafard fled before the danger, but if it feels of fear?	postediting	
This means that companies will have to find £81 million to settle the interests of the first year.	The Treasury estimates that the interests of the loan will rise in 2009, to £450millions.	postediting	
According to the results, the Catholic believers were able to exclude a large part of the suffering.	According to the indictment, a large part of the bills were false.	postediting	
BSkyB had bought its share in 2006 following an agreement to prevent NTL, – now called Virgin Media - buying ITV.	BSkyB has bought its share in 2006 following an agreement to prevent NTL, now called Virgin Media, buys ITV.	postediting	
"The film maker of ""Volver a empezar"" has impressed with his usual way of working on the stage direction of actors, with who he practices before shooting and to whom he gives no casting, since it seems ""humiliating"" and considers that ""the role of the filmmaker is to go to the cinema, or the theatre to remain informed""."	"The film maker of ""Volver empezar"" has influenced on its usual way to work on the staging of the players, with which he used to repeat before starting the film and that there is no role, since it seems ""humiliating"" and considers that ""the role of the filmmaker is to go to the cinema, theatre and to be informed""."	postediting	
The figures provided by Anec, the main association of traders, says: in the last five years, 316 traditional cinemas to have closed, and it is the halls of the main cities that have especially paid the price: 10 fewer in Florence, 9 in Milan, Naples, Bologna and Rome, 6 in Turin, 5 in Palermo.	The figures provided by Anec, the association main traders, want to say: The last five years, 316 cinemas traditional to have closed, and it is the rooms of the main cities that have especially paid the price: 10 less in Florence, 9 in Milan, Naples, Bologna and Rome, 6 and less in Turin, 5 in Palermo.	postediting	
In the Swedish town, prices hotels are with an increase of EUR 26.3 percent, the highest in Europe.	In the Swedish town, hotel prices have increased by 26.3 percent, the highest in Europe.	postediting	
In the Czech Republic, no chance, say the mobile operators	But given the attitude of mobile operators, the indifference of the Czech regulators is disconcerting.	postediting	
Across the world, every year, a million people die of the most serious form of the disease, such as cancer or the cirrhosis of the liver damage from hepatitis B.	Across the world, every year, a million people die of the most serious form of the disease, such as cancer or cirrhosis of liver caused by hepatitis B.	postediting	
This information stems from, among other things, a letter preserved in a private archive, which is now a part of the the collections of the Jihocˇeská veˇdecká knihovna.	It is between different a letter preserved in a private archive, who is now lodged in the collections of the Jihocˇeská veˇdecká knihovna.	postediting	
"""It is a traditional position that all governments have reiterated."	"""It is a traditional position that all governments have reiterated."	postediting	
"In the online magazine ""Edge"", contributions by famous scientists are being published for several years."	"In the online magazine 'Edge, ""contributions are published for several years by famous scientists."	postediting	
The return of the good of the 10-year Treasury fell to 3,632%, against 3,827% on Friday evening, and to 30 years to 4,161%, against 4,357% the previous day.	The 10-year interest of the Treasury fell to 3,632%, against 3,827% on Friday evening, and for 30 years to 4,161%, against 4,357% the previous day.	postediting	
Hence only the event on Friday took place	And only the party took place Friday	postediting	
Why your new collection created to Mango for the fourth season?	On what is based your new collection created for Mango for the fourth season?	postediting	
They go at night, remain the day of the festival at 10.30 p.m., and fall.	They go at night, remain the whole day at the festival and return at 10.30 p.m.	postediting	
Even if it is a shame to be just as underwear.	But it is a shame to be wearing them just as underwear.	postediting	
The architects of the plan would like to see put to the vote in the House of Representatives from today, and the Senate on Wednesday.	The architects of the plan would like to see it put to the vote in the House of Representatives today, and in the Senate on Wednesday.	postediting	
But it is said, keep our eyes wide open, it is not without reason.	But it is said, keep your eyes wide open: and it is not without reason.	postediting	
Researchers hoped that the sight of the Virgin Mary would create a kind of state of faith among the believers, while the painting of Da Vinci, not very different from the first, would have a calming effect.	Researchers at the root of this experience hoped that the sight of the Virgin Mary refers to a kind of state of faith among the believers, while the choice of the painting of Da Vinci, not very different from the first, was on his calming effect.	postediting	
US President George Bush himself is glad of progress in the negotiations.	The US President George Bush himself is glad of progress in the negotiations.	postediting	
The work has just started, and there is still much to do in the two countries'.	In this case, it is still of someone who speaks with the heart and not with the brain.	postediting	
Then they found a cyst in his vocal cords.	Then he found a kyste in the vocal cords.	postediting	
Other applications could affect the aerospace engineering.	Other applications could affect aerospace engineering.	postediting	
The reasons for this fall in prices would be a slowing economic growth, explains the firm.	The reasons for this fall in prices would be a slowing economic growth, explains the firm.	postediting	
And will the inhabitants of the territory be the First United and the Inuits?	And the inhabitants of the territory, the First United and the Inuits?	postediting	
One has the impression that the traditional elites, their parties, their programmes, but also their observance, their newspapers, their accredited intellectuals, their format, someone would have more difficulty, which is not new, to understand and therefore to represent the layers deep Western societies, and that the economic crisis strengthens, increases and wave potentially too much.	One has the impression that the traditional elites, their parties, their programs, but also their observance, their newspapers, their accredited intellectuals, their format, one would say, which is not new, one would have more difficulty to understand and therefore to represent the deep layers of Western societies, and that the economic crisis strengthens, increases and agitates in way which is potentially too much.	postediting	
It is now become a city of pilgrimage	It is now become a city of pilgrimage	postediting	
Monica Cruz is petite but full of vitality.	Monica Cruz is small but full of vitality.	postediting	
Krugman is one of the biggest critics of the economy and foreign policy of the Bush administration.	Krugman is one of the largest criticism solutions in economy and foreign policy of the Bush administration.	postediting	
The Hang Seng index in Hong Kong stock exchange lost four percent during the exchange, but later, it made up for part of losses and reduced the drop to approximately 2.5 percent.	The Hang Seng index in Hong Kong stock exchange lost four percent during the exchange, but later, he effaça part of losses and reduced the drop in nearly 2.5 percent.	postediting	
If the plan will be adopted now, or early next week, is, according to Marek, not as important as that.	It is not so important if the plan will be adopted now, or early next week,  according to Marek	postediting	
So, in just 100 words, Hurston to a combined Eatonville self government but also analphabétisation, on remariage, and sex.	So, in just 100 words, Hurston associates Eatonville to self government but also to illiteracy, remariage, and sex.	postediting	
It is astonishing that in recent weeks, this is precisely the classic groups of citizens who are rather far away from CSU, such as the self-employed artisans, holders of degrees and graduates of studies higher.	It is astonishing that in recent weeks, this is precisely the classic groups of citizens who are rather far away from CSU, such as the self-employed, artisans, holders of the box and graduates of studies higher.	postediting	
I am curious to know if I could see this here as well.	I am curious to know if I could see also here.	postediting	
But I do not know how to prove it.	But I do not know how the show.	postediting	
After spending during the last eight seasons, more time than anyone in uniform of the Jets, Shaun Ellis, the defender thought himslef to have seen everything.	After spending during the last eight seasons, more time than anyone in uniform of the jets Shaun Ellis, the defender was thought to have all seen.	postediting	
The leader of the Hungarian diplomacy is in negotiations today onwards in Washington.	The leader of the Hungarian diplomacy is in negotiations from today in Washington.	postediting	
The other sectors of the processing industry have increased between 0.2 percent and 0.9 percent.	The other sectors of the processing industry have increased between 0.2 percent and 0.9 percent.	postediting	
Járóka said: We need to break the vicious cycle of poverty and segregation	Járóka said: We need to break the vicious cycle of poverty and segregation	postediting	
"Even the telecommunications regulators lack the tools necessary for the opening of the mobile market to virtual operators,"" said Chaloupa in his statement."	"The necessary tools to the opening of the mobile market virtual operators are probably even the telecommunications regulator, ""said in its statement Chaloupa."	postediting	
For example, Avalon Bay, the manufacturer of recent buildings of luxury on First Street.	For example, there is Avalon Bay, the builder of recent luxury buildings on First Street.	postediting	
The historical cinemas are closing in favour of Multiplex.	Historical cinemas are closing in favour of Multiplexes.	postediting	
The wait lasted more than 35 minute;, it is incomprehensible given that 11 000 people are expected to these races.	Waiting lasted more than 35 minutes, it is incomprehensible since 11 000 people are expected to these races.	postediting	
Another English, whom Sam Mendes, said that work with Newman was the top of his career.	Another English, Oscar winner Sam Mendes, said that working with Newman was the high point of his career.	postediting	
The shares of Goldman Sachs Bank showed a drop of almost 10%.	The actions of the Bank Goldman Sachs accusèrent a drop of almost 10%.	postediting	
But the coach can have an accident or brake suddenly at a time when the steward serves coffee or distributes newspapers.	But the coach can have an accident or slow down a steep, also at a time when the steward serves coffee or distributes the newspapers.	postediting	
Of April to June, prices were already 3.6 percent lower than the previous year.	From April to June, prices were already 3.6 percent lower than in the previous year.	postediting	
If not, you can use the integrated bodies that virtually all mobiles have, but very few MP3 players.	If not, you can use the integrated bodies that have virtually all mobile, but a minimum of MP3 players.	postediting	
"It will not work, ""he stressed."	"All depends on it, ""he says."	postediting	
"""It works, observed,"" it worked for us """	"""It works,"" she observed, ""it worked for us"""	postediting	
The perception of the obstacle is taking place in a split second, and then the mini self robot, imitating the movement of bees, immediate changes the direction of its wheels in the turning point of a light enough to avoid a collision.	The perception of the obstacle takes place in a split second, and then the mini self robot, imitating the movement of bees, immediate changes the direction of its wheels sufficiently to avoid a collision.	postediting	
According to Senator Harry Reid, Democrat évadiez legislators are so that Congress will lead to a final agreement by Sunday.	According to Democrat Senator Harry Reid, legislators are working so that Congress will arrive at a final agreement by Sunday.	postediting	
"I am pleased to have a wonderful family which is doing very well""."	"I am pleased to have a wonderful family who will at best ""."	postediting	
During the break, they then took out their Bentos.	During the break, they then all out their Bento.	postediting	
Many residents were fascinated, Mr Franklin said, while many made fun of her.	Many residents were fascinated, Mr Franklin told, while many are moquaient of it.	postediting	
The pace was not very sustained during an encounter where the attackers found it difficult to do anything.	The pace was not very supported during this meeting where the attackers were difficult to speak.	postediting	
Concerns for the Afghan campaign antipolio.	Concerns for the Afghan antipolio campaign.	postediting	
It is a shame that, from an ethical and moral point of view, the government does not respect the existing laws.	It is a shame that, having and moral, the government does not respect the existing laws.	postediting	
In Germany, prices have been falling even more important than in other European countries.	In Germany, prices have been falling even more than in other European countries.	postediting	
Yes, there are solutions.	Yes, there are solutions.	postediting	
In terms of points, the biggest drop in its history (684,81 points) had previously been recorded on 17 September 2001, the day of the resumption of trade after the terrorist attacks of 11 September.	In terms of points, the biggest drop in its history (684,81 points) had previously been recorded on 17 September 2001, the day of the resumption of trade after the terrorist attacks of 11 September.	postediting	
They have a personality and a unique character.	They have a personality and a unique character.	postediting	
He shouted the scandal when the Prefecture ordered the dissolution of the City Council.	He complained of scandal when the Prefecture ordered the dissolution of the City Council.	postediting	
The Tan have allowed to shorten the period silent, which stretches between the time when the person has been infected and when the first virus can be found in blood by our technical, explains the specialist.	The TAN have allowed to shorten the dormant period, which stretches between the time when the person has been infected and when the first virus can be found in blood by our technique, explains the specialist.	postediting	
Five paragraphs in the guide to the Florida transformed this city, located just outside of Route 17, a road that runs through the centre of Florida, often forgotten, which ends in a chapter in black history of the human drama.	Five paragraphs in the guide to the Florida transformèrent this city, located just outside of Route 17, a road that runs through the centre of Florida, often forgotten, which in black and chapter in the history of the human drama.	postediting	
The party of racing banderilles which concluded the bulls of the rat of Pozoblanco has been suspended yesterday morning, after the horse toréadors to have established that the ring was unworkable.	The festival of banderilles which concludes with the bulls racing at the fair of Pozoblanco has been suspended yesterday morning, after the horse keepers have established that the ring was unusable.	postediting	
"And accentuating still further the sense of urgency, ""every day that goes by ushers the fall of a financial institution"" in the US, said Mrs Piegza."	"And accentuating more sense of urgency, ""every day that goes by the fall of a financial institution"" in the US, said Mrs Piegza."	postediting	
Behind him, during his speech was thrown a kind of mills in pictures.	Behind him, during his speech, was projected a kind of windmill of images.	postediting	
The general coordinator and Member of the United Left, Gaspar Llamazares, said today that it is up to the regional federation to take a decision on the case of the former advisor of Youth and Sport of the City of Seville, Francisco Manuel Silva, who resigned last week after being accused of nepotism.	The general coordinator and Member of the United Left, Gaspar Llamazares, said today that it is the regional federation to take a decision on the case of the former advisor of Youth and Sport of the City of Seville, Francisco Manuel Silva, who resigned last week after being accused of treatment with his family.	postediting	
"Among the rain of tributes which déferlait yesterday on Newman, a great friend and former colleague of weapons Robert Redford (they had played together in The Sting and Butch Cassidy and the Sundance Kid) said, very saddened: ""His presence has made my life and this country better."""	"Among the rain of tributes which fell yesterday on Newman, a great friend and former colleague Robert Redford (they had acted together in The Sting and Butch Cassidy and the Sundance Kid) said, very saddened: ""His presence has made my life and this country better."""	postediting	
Every day, in Italy, there are 2500 accidents at work, 3 killed and 27 people who are disabled permanently.	Every day, Italy, there are 2500 accidents at work, 3 killed and 27 people who are disabled permanently.	postediting	
The life of this woman who was the history of the dance in Europe in the interwar, has fascinated Isabelle Bayón.	The life of this woman which has made an impression on the history of  dance in Europe in the period between wars, fascinated Isabelle Bayón.	postediting	
In the first half of 2008, the night flights and hotels were less expensive than the previous year.	In the first half of 2008, flights and hotels were less expensive than the previous year.	postediting	
Sheikh Hasina should return after 17 October, said a former leader of the Awami Party.	Sheikh Hasina should return after 17 October, said a former leader of the Awami Party.	postediting	
This month, at a meeting of the committee of owners of the neighbourhood, representatives of the city agency of Avalon Bay have outlined a proposal to allow a real estate agent to buy the street.	This month, at a meeting of the committees of owners of neighbourhood, representatives of city agency and Avalon Bay have outlined a proposal to allow the manufacturer estate to buy the street.	postediting	
The payment of another 350 billion will have to be ratified by another vote in Congress.	The payment of 350 other billion should be ratified by another vote in Congress.	postediting	
The spring, Mikitenko aged 36 years, has surprised everyone winning the London an in 2: 24: 14.	Last spring, Mikitenko aged 36 years, surprised everyone by winning the London Marathon in 2: 24: 14.	postediting	
"We need to continue with the recovery plan for the markets, but we're there,"" said Paulson"	"""Say what you want, we will see ourselves to the cross, on Obama or McCain."	postediting	
The programme will be overseen by an independent body, in which the chairman of the Federal Reserve will take part.	The programme will be overseen by an independent body, in which the chairman of the Federal Reserve will take part.	postediting	
A rat or cafard fled before the danger, is it that it means that it is also fear?	If a rat or a cockroach flees from danger, does that mean that it also feels fear?	postediting	
"If it had done that, ""we would be more advanced today"" commented Mrs Marois alongside her candidate Jean-Achilles (elections held today), Françoise mercury."	"If he had done, ""it would be more advanced today"" commented on Mrs Marois alongside its candidate in Jean-Achilles (vote today), Françoise mercury."	postediting	
Property which cannot be sold is a great liability to financial firms and threates the entire system. These should be bought by it from financial companies.	It should buy, with the financial companies, the housing unsaleable which lead to financial firms in huge losses and threaten the stability of the entire system.	postediting	
"""Today, the city has five, but by the end of the year, there should be eighty,"" added Opatrny´."	"""Today, the city has five, but by the end of the year, there should be four-20,"" he Opatrny´."	postediting	
The crisis of 2008 for these journalists is a crisis of economic model destroyed.	The crisis of 2008 for these journalists is a crisis of a destroyed economic model.	postediting	
A bitter and retaliatory billiards player in the magnificent The Hustler of Robert Rossen (1961), he played the character again in The Color of Money of Martin Scorsese, which won him in 1987 his only Oscar out of nine nominations.	Ping pong player bitter and retaliatory in the magnificent The Hustler of Robert Rossen (1961), it will resume the man on the return in The Color of Money of Martin Scorsese, which won him in 1987 her only Oscar on nine nominations.	postediting	
In the MDAX, the actions of Arcandor fell after the announcement of an increase in the capital.	Also in terms of price of flights, the trend was on the rise in the first quarter.	postediting	
But given the attitude of mobile operators that are, the indifference of the Czech regulators is disconcerting.	But given the attitude of mobile operators, the indifference of the Czech regulators is disconcerting.	postediting	
We think she has suicidée by suffoquant with a plastic bag.	We think she committed suicide by suffocation with a plastic bag.	postediting	
While Hong Kong is part of China, it establishes its monetary policy itself, that is, independantly of the Chinese central bank.	While Hong Kong is part of China, it establishes its monetary policy itself, that is, regardless of the Chinese central bank.	postediting	
Price reductions have taken place in the sectors of production of textiles and textile products (2.5 percent), as well as in the manufacture of machinery and electrical appliances (0.3 percent).	Price reductions have taken place in the sectors of production of textiles and textile products (2.5 percent), as well as in the manufacture of machinery and electrical appliances (0.3 percent).	postediting	
More than 90 graves were severely damaged in the graveyard of Traun, near Linz, between Friday night and this morning; it was according to the police, an organized act.	More than 90 graves were severely damaged the graveyard of Traun, near Linz, between the night on Friday morning, according to the police, a campaign.	postediting	
At the time, the department said that the prosecutors were dismissed because of poor performance.	At the time, the department said that prosecutors were dismissed because of poor performance.	postediting	
You do not think - you pay for it.	You do not consider - you pay for.	postediting	
Of the subtle degrees of feeling, associated with our volubile nature, emerges, because we have the ability, with the help of words and grammar, differentiations and categorisations of the state to put the blame on others.	Of subtle degrees of felt, associated with our nature volubile, emerge, because we can, with the help of words and grammar, differentiation and categorising of the Member for the blame to others.	postediting	
In the MDAX, the shares of Arcandor fell after the announcement of an increase in the capital.	In the MDAX, the actions of Arcandor fell after the announcement of an increase in the capital.	postediting	
"The unforgettable interpreter of ""Butch Cassidy and the Kid"" died as a result of cancer at the age of 83 years, in his house in Connecticut."	"The unforgettable interpreter of ""Butch Cassidy and the Kid"" died as a result of cancer at the age of 83 years, in his house of Connecticut."	postediting	
"""An affront to the legal and moral normatives, and especially in the right direction"" write prosecutors, that the two local authorities had expressed a willingness to pay consultations to Maître Piromalli."	"""An affront to the prescriptive legal and moral, and especially in the right direction"" write prosecutors, the two local authorities had expressed a willingness to pay consultations to Maître Piromalli."	postediting	
Other European stock markets also have known that a direction: In London, the FTSE 100 index has seen a decline for the moment of 3.2 percent, the CAC 40 in Paris has lost 2.9 percent.	Other European stock markets also have all gone the same way: In London, the FTSE 100 index has seen a decline of 3.2 percent for the moment, the CAC 40 in Paris has lost 2.9 percent.	postediting	
"""We no longer have any time to lose."	"""We can no longer time to lose."	postediting	
All come to read the MP3 and the vast majority of music that will arrive until you will precisely this format.	All are able to read MP3 and the vast majority of music that you will own will precisely be in this format.	postediting	
It was a victory for a country that has taken the trouble to impose against a suicidal food culture.	It was a victory for a country that has had trouble to cope with a suicidal food culture.	postediting	
However, the law will still many changes.	However, the law will still undergo many changes.	postediting	
We don't need a capacity of gigabytes, or even of megabytes.	We don't need to remember a capacity of gigabits, or even of mega-extend.	postediting	
"The House of Representatives should be able to proceed on Sunday to the vote of the law, and the Senate on Monday, made it ""Republican Senator Judd Gregg."	"The House of Representatives should be able to proceed with the vote of the law on Sunday, and the Senate on Monday,"" the Republican Senator Judd Gregg hinted."	postediting	
Simply, Naomi Campbell has called, I have known for some time, to invite me to participate in London a parade of charity for his involvement in favour of support for women and clothing that we exhibions - I have exhibited two clothes of our collection created for Mango - were sold at auction to collect money for the NGOs of Naomi.	It's just that, Naomi Campbell called me, – I have known her for some time, – to invite me to participate in London at a parade for charity in favour of support for women and the clothing that we exhibited - I exhibited two clothes of our collection created for Mango - were sold at an auction to collect money for  Naomi's NGO.	postediting	
The famous Austrian journalist Gustav Chalupa, born in 'Cˇeské Budeˇjovice, confirms this.	Austrian the famous journalist Gustav Chalupa, born in 'Cˇeské Budeˇjovice, confirms.	postediting	
To imitate the functions of the eye to facets, engineers have raised the idea of télémètre to laser.	To imitate the functions of the eye, engineers have put forth the idea of a laser rangefinder.	postediting	
The Crown Prosecution Service has suggested that the ministerial officer is placed under the tutelage of the Metropolitan Police, given the sensitive nature of his work related to the Committee associated with the secret services	The Crown Prosecution Service has suggested that the ministerial officer be placed under the surveillance of the Metropolitan Police, given the sensitive nature of his work related to the Committee associated with the secret services.	postediting	
It is also the issue of contention in the letter of the current directorial committee: in all eventualities, a 'global solution' for the establishment will be aimed for.	It is also the point at issue in the letter of the Committee executive board in place: In any case, would be covered a global solution for the establishment.	postediting	
"""The first day of course in Japan."	"""The first day of courses in Japan."	postediting	
The times jostle through his path.	The times jostling through its path.	postediting	
Heinz-Christian Strache, who has abandoned the right of the Austrian Freedom Party, and Filip Dewinter of the Belgian right Vlaams Belang, take part in a demonstration to present the organisation 'cities against Islamisation' in Antwerp, on Thursday 17 January 2008.	"Heinz-Christian Strache, which has abandoned the right of the Austrian Freedom Party, and Filip Dewinter of the Belgian right Vlaams Belang, take part in a demonstration to present the organisation 'cities against the Islamisation ""in Antwerp, on Thursday 17 January 2008."	postediting	
Of course, Fodor was not like that.	Of course, Fodor was not the case.	postediting	
"""It is a bad signal to the market, which Congress unable to adopt a plan,"" said Lindsey Piegza, FTN Financial."	"""It is a bad sign for the market, which sees the Congress unable to adopt a plan,"" said Lindsey Piegza, FTN Financial."	postediting	
"""I am surprised and even a little shocked at the speed with which the memory of scandals such as the collapse of Enron and WorldCom, have disappeared from public attention"" said Krugman at the end of 2002."	"""I am surprised and even a little shocked the speed with which the memory of scandals such as the collapse of Enron and WorldCom, have disappeared from public attention"" said Krugman at the end of 2002."	postediting	
Expansive this wave of admiration balayait Hollywood without either the nationalities or passports.	This wave of admiration swept Hollywood without care for either nationalities or passports.	postediting	
On television, President Lukashenko and the members of the central electoral commission welcome their success.	Has television, President Lukashenko and the members of the central electoral commission welcome their success.	postediting	
Nicolas Sarkozy is expected to the ground by fishermen.	Before off for the US, Nicolas Sarkozy will take a detour by the Kingdom.	postediting	
A group of other issuers of bills is composed of those who were well aware that they were asked to forge bills.	A group of other issuers of bills is composed of those who were well aware that they were asked to pass bills.	postediting	
Has side of the primary functions, the telephone calls and sending SMS, it is able to read music and films, to register them, it has a camera of varied quality and can, for example, to serve to shipping.	Besides the primary functions of making telephone calls and sending SMS, it is able to read music and films, to record them, to take pictures with a camera of varying quality, and even to serve as a navigation guide.	postediting	
