pair_ID	sentence_A	sentence_B	relatedness_score	f_score	mse
526	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	A pedestrian woman is building pink bicycles for boa wearing riders	0.480	0.343	0.019
317	A group of children in uniforms is standing at a gate and there is no one kissing the mother	A crowd of people is near the water	0.260	0.125	0.018
4831	A man is slicing a potato into pieces	A man is not cutting a potato	0.800	0.667	0.018
5047	A man is cutting onions	A woman is cutting an onion	0.700	0.833	0.018
1102	A woman is riding a horse	A man is opening a small package that contains headphones	0.200	0.333	0.018
882	The girl in the blue and white uniform is cheering	The girl is cheering the man in the blue and white uniform	0.620	0.750	0.017
2231	A woman is tapping her fingers	A woman is resting her fingers on a table	0.620	0.750	0.017
2738	The woman is not playing an electric guitar	A man is playing an acoustic guitar	0.600	0.471	0.017
4114	There is no man eating food	A man is eating a pizza	0.640	0.769	0.017
2886	A woman is playing a flute	The woman is not playing the flute	0.640	0.769	0.017
280	A boy is standing outside the water	The boy is wading through the blue ocean	0.627	0.500	0.016
4661	A woman is slicing a potato	A woman is cutting a potato	0.960	0.833	0.016
3501	A dog is licking a baby	The dog is licking the baby	0.960	0.833	0.016
6078	A person wearing jeans is sitting happily on the top of a horse saddle	A woman in jeans is sitting on the saddle of a horse	0.840	0.714	0.016
2704	Noodles are being boiled in water by a woman	A woman is boiling noodles in water	1.000	0.875	0.016
6280	A dog, which is black, is running in the grass	A black dog is running in the grass	1.000	0.875	0.016
4851	Some instruments are being played by a band	A band is playing some instruments	1.000	0.875	0.016
2911	A woman is putting on makeup	There is no woman putting on makeup	0.800	0.923	0.015
4157	There is no man playing the piano	A man is playing the piano	0.800	0.923	0.015
3536	Someone is cooking okra in a pan	Okra is being cooked in a pan	0.980	0.857	0.015
1493	A man is playing an electric guitar	A man is playing guitar	0.980	0.857	0.015
6153	A race car driver is standing up and pointing his hand at the sky	A race car driver is sitting down and is motionless	0.600	0.722	0.015
2019	A man is dangerously throwing knives at a tree	Some dangerous men with knives are throwing a bike against a tree	0.660	0.538	0.015
2972	A large green ball is hitting a potato	A big green ball is missing a potato	0.680	0.800	0.014
4031	A man is breaking tiles with his hands	There is no man breaking wooden boards with his hand	0.580	0.700	0.014
7997	The kids are not wearing suits and water is splashing around	Children in swimming suits are playing in the water	0.560	0.444	0.013
3174	A kid is throwing away an instrument	A young boy is playing a wind instrument	0.560	0.444	0.013
8832	A woman is leaning on the ledge of a balcony	A man is leaning on the ledge of a balcony	0.760	0.875	0.013
2410	A man is preparing some dish	An onion is being sliced with a knife by the woman	0.260	0.375	0.013
9931	A woman is playing an electric guitar	A kid is playing guitar	0.600	0.714	0.013
1232	A man is slicing a bun	A man is slicing a tomato	0.720	0.833	0.013
5904	A man and a woman are driving down the street in a jeep	A man and a woman are driving down the road in an open-air vehicle	0.800	0.688	0.013
6131	A young boy wearing a red swimsuit is jumping into a blue kiddies pool	A boy wearing red shorts is jumping into a paddling pool	0.800	0.688	0.013
8220	Two dogs are running through water	Two dogs are running through high grass	0.667	0.556	0.012
4614	There is no man driving a car	A man is driving a car	0.880	0.769	0.012
987	An adult is in the amphitheater and is talking to a boy	There is no adult in the amphitheater talking to a boy	0.860	0.750	0.012
3398	Someone is beating an egg	The woman isn't stirring eggs in a bowl	0.640	0.533	0.011
8263	Some people and vehicles are on a crowded street	Some people and vehicles are on a almost empty street	0.840	0.733	0.011
1177	A woman is combing her hair	A woman is arranging her hair	0.820	0.714	0.011
5310	There is no girl playing a flute	A girl is playing a flute	0.720	0.615	0.011
6231	Two dogs are playing together on the grass	Two dogs are resting together in the grass	0.660	0.556	0.011
4006	A man is climbing a rope	The man is climbing up a rope	0.960	0.857	0.011
4011	A man is climbing a rope	A man is climbing up a rope	0.960	0.857	0.011
6330	A girl is wearing jeans and a pink shirt and is running	A little boy in a pink shirt is running under a tree in the desert	0.560	0.457	0.011
3459	The man is chopping a tree trunk with an axe	A man is chopping a log with an axe	0.880	0.778	0.010
4429	The men are talking	Some old women are talking	0.600	0.500	0.010
1241	A woman is dancing and singing with other women	A woman is dancing and singing in the rain	0.820	0.720	0.010
8375	Two large dogs, a light colored one and a dark one, are sleeping on a snowy terrain	Two dogs are leaping through snowy grass and rocks	0.480	0.381	0.010
7950	A girl is running through the water at the beach	A boy in a white t-shirt is splashing in shallow water	0.460	0.364	0.009
3661	A woman is collecting the water from a tap in a mug	A boy is filling a pitcher with water	0.540	0.444	0.009
1410	A woman is cutting shrimps	A man is chopping butter into a small container	0.280	0.375	0.009
4321	A man is drawing	There is no man drawing	0.760	0.667	0.009
3258	A man is playing the guitar	Nobody is playing the guitar	0.740	0.833	0.009
5706	A man is reloading a shotgun	A man is firing a shotgun	0.740	0.833	0.009
3982	A woman is peeling a potato	A woman is refrigerating a potato	0.740	0.833	0.009
5461	A woman is playing the flute	A man is playing a flute	0.740	0.833	0.009
8505	Two people are sitting on a park bench on a sunny day	Two people are sitting on a park bench on a hot day	0.860	0.769	0.008
3107	A man is flooring a sitting guitar player	A man is sitting on the floor in a room and strumming a guitar	0.460	0.370	0.008
2535	There is no cat eating corn on the cob	A cat is eating some corn	0.500	0.588	0.008
2712	There is no karate practitioner kicking at another man who is wearing protective boxing gloves	A karate practitioner is kicking at another man who is wearing protective boxing gloves	0.860	0.773	0.008
4342	A man is eating a banana	A man is eating a fruit	0.920	0.833	0.008
3586	A man is playing the drum	A man is practicing the drum	0.920	0.833	0.008
9963	The animal is grazing on the grass	The cop is sitting on a police bike	0.200	0.286	0.007
2604	A bull dog is being brushed by the monkey	The monkey is brushing a bull dog	0.960	0.875	0.007
6001	There is no brown dog standing in the water	A dog with golden fur is in the water	0.560	0.476	0.007
913	A woman is being kissed by a man	There is no woman being kissed by a man	0.840	0.923	0.007
2284	The cat is playing passionately with a watermelon	The cat is playing with a watermelon	0.940	0.857	0.007
3626	Someone is dropping the meat into a pan	The meat is being dropped into a pan	0.940	0.857	0.007
9359	A surfer is surfing a big wave	A surfer is surfing a huge wave	0.980	0.900	0.006
718	A few men in a competition are running outside	A few men are running competitions outside	0.780	0.700	0.006
4066	The man is hurling knives at a tree	The man is throwing knives at a tree	0.920	1.000	0.006
4755	The girl is sitting on the couch and is crocheting	There is no girl playing the violin on a beach	0.280	0.200	0.006
7544	A football player is carrying an official past a rolling football	A football player in a purple jersey is running with the ball for a touchdown	0.580	0.500	0.006
4	The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	0.720	0.800	0.006
1469	Three young men are running, jumping and kicking near a vending machine	There is no man running, jumping and kicking near a vending machine	0.760	0.684	0.006
5148	A man is buttering a piece of bread	A woman is buttering a piece of bread	0.700	0.625	0.006
3747	A talented man is playing the guitar	A woman is playing a guitar	0.640	0.714	0.006
6203	A bicyclist is holding a bike over his head in a group of people	A cyclist is being held over the heads of a group of people with the bike	0.680	0.606	0.005
3250	A woman is placing two eggs into a pot of water	A woman is putting two eggs into a pot of water	0.980	0.909	0.005
5454	A man is playing a flute	A man is not playing a flute	0.840	0.769	0.005
2678	A man is hurriedly getting into a car in a garage	A man is getting into a car	0.820	0.750	0.005
8461	A man with no hat is sitting on the ground	A man with a backwards hat is sitting on the ground	0.800	0.870	0.005
2229	A woman is tapping her fingers on a table	A woman is resting her fingers on a table	0.820	0.889	0.005
5747	A baby is playing with a toy	A baby tiger is playing with a ball	0.640	0.571	0.005
6213	A man is sitting on a boat in font of the sunset, near a flag	A man is standing on a boat in front of the sunset near a flag	0.760	0.692	0.005
4916	A man is singing and playing a guitar	A man is singing and playing a musical instrument	0.900	0.833	0.004
2404	The lady is slicing a tomato	There is no one cutting a tomato	0.600	0.667	0.004
2668	A few ferrets are climbing out of the cage	Ferrets are climbing down from a shelf	0.620	0.556	0.004
4843	A man is opening a box with a knife	There is no man opening a box with a knife	0.760	0.824	0.004
9132	A man in a jersey which is black is standing in a gym	A man in a black jersey is standing in a gym	0.980	0.917	0.004
9584	The woman is holding the paintbrush next to the artist's easel 	The lady is holding the paintbrush next to the artist's easel 	0.980	0.917	0.004
1236	A woman is dancing and singing alone	A woman is dancing and singing with other women	0.657	0.720	0.004
1839	The girl, who is little, is carefully combing her hair into a pony tail	The girl, who is little, is combing her hair into a pony tail.	0.920	0.857	0.004
211	Two dogs are playing by a tree	Two dogs are playing by a plant	0.920	0.857	0.004
6784	There is no man dressed in black wearing an elaborate black mask	A man dressed in black is wearing an elaborate black mask	0.680	0.741	0.004
6971	There is no man in a red uniform making a jump in a dirt bike race	A man in a red uniform is making a jump in a dirt bike race	0.680	0.741	0.004
4164	The man is erasing the drawing on the board	The woman is erasing the drawing on the board	0.740	0.800	0.004
933	The girl in the red shirt is blowing a bubble 	The young girl is blowing a bubble that is huge	0.760	0.700	0.004
9869	A bike is being ridden over a monkey	A person is riding a dirt bike down a dirt hill	0.560	0.500	0.004
6756	A large brown dog and a small grey dog are standing on a rocky surface	A big brown dog and a small grey dog are standing on a rocky surface	0.960	0.900	0.004
1237	Some women are dancing and singing 	A woman is dancing and singing in the rain	0.760	0.818	0.003
236	The children of a family are playing and waiting	An Asian man is dancing and three kids are looking	0.380	0.323	0.003
8163	Two people are driving a jeep and a lady is sitting on the top of it	Two people are driving a jeep and a girl is sitting on the top of it	0.960	0.903	0.003
3373	A woman is riding a water scooter	A woman is riding a scooter for water	0.820	0.875	0.003
2130	A small boy is scolding a dog	A small boy is playing with a dog	0.680	0.625	0.003
2385	A person is cutting an onion into pieces	A person is slicing a carrot into pieces	0.680	0.625	0.003
2996	A man is playing a guitar	A man is laying down a guitar	0.660	0.714	0.003
4816	There is no person cutting some ginger	A person is cutting some ginger	0.760	0.706	0.003
1178	A woman is combing her hair	There is no woman combing her hair	0.720	0.667	0.003
1811	A man is playing the guitar loudly	A flute isn't being played by a man	0.480	0.533	0.003
6450	A little boy is wearing a yellow tank top and is laughing	A laughing boy is in a yellow tank and is wearing a top	0.700	0.647	0.003
9822	Two people are riding a bike	A practicing jumper is tossing a person's snowboard into the air	0.400	0.348	0.003
7445	The little girl is swinging and the woman is standing behind her	The girl, who is little, is swinging and the woman is standing behind	0.980	0.929	0.003
1807	The adult is playing the guitar loudly	A flute is being played by a man	0.480	0.429	0.003
1847	One man is sitting on the chair	The girl, who is little, is ruffling her hair	0.200	0.250	0.002
9988	A young man is pushing a motocross bike down a dirt hill	A dog is swimming after a tennis ball	0.200	0.250	0.002
9771	Two small children are playing with a toy car in the street	A dog is running through a field and is chasing a toy	0.280	0.231	0.002
4520	There is no man playing a guitar	A man is playing a guitar	0.720	0.769	0.002
3420	A woman is deboning a fish	A big fish is catching a man	0.380	0.429	0.002
4360	A man is cutting a note	A man is cutting a paper	0.880	0.833	0.002
2544	The person is slicing a vegetable	Nobody is slicing a tomato	0.620	0.667	0.002
1390	A person is standing near a motorcycle	A person is chopping an onion	0.240	0.286	0.002
3292	A woman is grating carrots	A cook is coating a pork chop	0.420	0.375	0.002
7726	A boy under an umbrella is being held by his father who is wearing a blue coat	A boy, who is wearing a blue coat, is being held by his father under an umbrella 	0.860	0.905	0.002
6119	A brown and white dog is holding a baseball in its mouth	A black and white dog is dropping a baseball from its mouth	0.660	0.615	0.002
8471	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair	A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair	0.920	0.964	0.002
2286	The cat is playing passionately with a watermelon	A cat is playing with a watermelon	0.900	0.857	0.002
4054	A dog is running breathlessly on the road	A dog is running on the road	0.900	0.857	0.002
5082	A woman is playing the violin	There is no man playing the piano	0.420	0.462	0.002
2726	A woman on a rock is lying on a blanket and reading a book	A woman is rocking over a blanket lying on someone reading a book	0.540	0.581	0.002
119	Five children are standing in front of a wooden hut	Five children are standing in a wooden hut	0.840	0.800	0.002
5930	The man is not doing exercises	Two men are fighting	0.460	0.500	0.002
3002	A woman is playing an electric guitar	A man is laying down a guitar	0.460	0.500	0.002
4376	A man is playing a guitar	There is no one playing a piano	0.540	0.500	0.002
9669	The young girl is playing on the edge of a fountain and an older woman is watching her	A young girl is playing on the edge of a fountain and an older woman is watching her	0.960	1.000	0.002
2791	A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor	A small guinea pig is gnawing and eating a piece of carrot on the floor	0.960	1.000	0.002
2822	A woman is taking a mixture out of a bowl	A woman is preparing an egg in a skillet	0.540	0.500	0.002
3812	A woman is slicing a pepper which is green	A woman is slicing a green pepper	0.960	1.000	0.002
9843	A family is buying something at the vending machine	A man in a suit is standing at a microphone and singing	0.200	0.160	0.002
9029	Two dogs are playing in a forest	A brown dog is running after a black dog on a rocky shore	0.460	0.421	0.002
7002	Rugby players are not tackling each other	A soccer player is being tackled by his opponent	0.500	0.538	0.001
5206	A woman is pulling some sticky goo out of a bowl	The woman is not putting pasta into a dish	0.440	0.476	0.001
7667	The man at the beach is not doing a handstand on the wet sand at the edge of the water	The man is doing a handstand on the wet sand at the edge of the water at the beach	0.740	0.774	0.001
1703	A man is emptying a container made of plastic completely	A man is emptying a container made of plastic	0.940	0.909	0.001
2606	The monkey is brushing a bull dog	A bull dog is brushing the monkey	0.780	0.750	0.001
1676	A boat is sailing peacefully over the water	The guitar is being played by the man	0.220	0.250	0.001
9069	Two boys are laying in the ocean close to the beach	Two boys are laying in the water close to the beach	0.880	0.909	0.001
8138	The girl has red hair and eyebrows, several piercings in a ear and a drawing on the back	The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back	0.880	0.909	0.001
9706	A black and white dog with a large branch is standing in the field	A black and white dog with a large branch is running in the field	0.840	0.812	0.001
2898	The man is lifting barbells	The man is lifting weights	0.860	0.833	0.001
9788	A man is playing an electric guitar	A group of people is holding drinks and pointing at the camera	0.200	0.174	0.001
2089	The man is denying an interview	The man is granting an interview	0.640	0.615	0.001
6740	The people are not sitting on a bench in front of a restaurant	Three people are sitting on a bench under some palm trees	0.640	0.615	0.001
7734	A boy under an umbrella is being held by his father who is wearing a blue coat	A child is experiencing a new world	0.300	0.276	0.001
1503	Three boys in karate costumes aren't fighting	Three boys in karate costumes are fighting	0.660	0.636	0.001
1487	The man is not stirring the sauce for the chicken	The man is stirring the sauce for the chicken	0.800	0.824	0.001
1964	One person is playing the guitar and singing	A person is playing a guitar and singing	0.980	0.957	0.001
5698	The cook is sprinkling cheese on the pizza	The man is sprinkling cheese on the pizza	0.800	0.778	0.000
9975	The dog is snapping at some droplets of water	A girl in a band is playing an instrument	0.200	0.222	0.000
9838	Some instruments are being played by a band	A young, topless woman is covered in paint	0.200	0.222	0.000
5119	Two sumo ringers are fighting	A man is riding a water toy in the water	0.200	0.222	0.000
9371	A person with a red hooded jacket and a black backpack is walking near a rocky wall	A man in a red jacket and khaki pants is walking through an European state	0.600	0.578	0.000
520	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	0.660	0.681	0.000
717	A few men in a competition are running outside	A few men in a competition are running indoors	0.780	0.800	0.000
9453	A dog is jumping in the shade of some trees	A cat is jumping high into the air in the country	0.320	0.300	0.000
1400	A sad man is crying	A man is screaming	0.580	0.600	0.000
4707	A group of men is playing soccer on the beach	A group of boys is playing soccer on the beach	0.880	0.900	0.000
3364	A woman is cleaning a shrimp	The woman is cleaning a shrimp	0.980	1.000	0.000
8714	Two white dogs are quickly running together	Two white dogs are running together	0.920	0.900	0.000
9303	The skateboarder is jumping in the air	A skateboarder is jumping in the air	0.980	1.000	0.000
6764	Three boys are resting on rocks along a river	Three boys are walking on rocks along a river	0.760	0.778	0.000
9014	A blond child is going down a slide and throwing up his arms	A child with dark hair is going down a slide and throwing up his arms	0.740	0.722	0.000
6005	A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign	A young girl by a pink sign is holding up a blue shirt and is walking on the sidewalk	0.680	0.698	0.000
8362	A boy in a striped shirt is jumping behind a water fountain	A boy in a striped shirt is jumping in front of a water fountain	0.840	0.857	0.000
4079	One man is riding a horse	A man is riding a horse	0.940	0.923	0.000
530	A biker is wearing gear which is black	A biker wearing black is breaking the gears	0.620	0.636	0.000
8141	The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back	A girl with red hair and red eyebrows is in midspeech	0.600	0.615	0.000
9759	A laughing child is holding a water gun and getting sprayed with water	A person in a blue jacket is jumping onto a tall cement wall	0.220	0.235	0.000
9789	A girl in gold and purple is holding a rainbow afghan	A man is squatting in brush and taking a photo	0.200	0.214	0.000
592	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	A woman is putting on a cloak, which is very large, and concealing an extravagant dress	0.700	0.686	0.000
4330	The man is drawing	There is no man drawing	0.680	0.667	0.000
6315	A yellow dog is running on white snow on a very sunny day	A yellow dog is running on white snow on a sunny day	0.920	0.933	0.000
6568	A woman is wearing a blue helmet and is riding a bicycle in a parking lot	A woman is parking a blue bicycle and is wearing lots of riding helmets	0.620	0.632	0.000
3941	A boy is looking at a calendar	There is no boy checking a calendar	0.780	0.769	0.000
4086	There is no man drawing a picture	A man is drawing a picture	0.780	0.769	0.000
3061	A woman is driving a car and is talking to the man who is seated beside her	There is no woman driving a car and talking to the man seated beside her	0.940	0.950	0.000
5955	A dog is leaving a ball in the dirt	A dog is chasing a ball through dirt	0.740	0.750	0.000
9880	A biker is riding away from a fence	A man is dancing on the road	0.240	0.250	0.000
3181	A man is trekking in the woods	The man is not hiking in the woods	0.760	0.769	0.000
4776	There is no boy playing guitar	A boy is playing guitar	0.760	0.769	0.000
8343	A man in a motocross uniform is wearing a helmet and rides a red motorcycle	A person in a motocross uniform is wearing a helmet and rides a red motorcycle	0.960	0.952	0.000
6592	A young girl is standing on one leg	A young girl is dancing	0.540	0.533	0.000
5498	A woman is cutting a lemon	A woman is cutting fruit	0.840	0.833	0.000
3518	The man is not dancing	A woman is dancing	0.660	0.667	0.000
3505	A woman is putting away the garlic	A woman is chopping up garlic	0.720	0.714	0.000
2662	The lady isn't cracking an egg for the mixer	The lady is slicing up the meat	0.467	0.471	0.000
7889	Two white dogs are playing with a brown dog and a tennis ball	Two white dogs are playing with a brown dog and a ball	0.940	0.938	0.000
1608	A snake is being fed a mouse by a man	No snake is being fed a mouse by a man	0.940	0.941	0.000
253	A hiker is on top of the mountain and is doing a joyful dance	A hiker is on top of the mountain and is dancing	0.940	0.941	0.000
6344	A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass	The white reindeer wearing dog ears is near a brown reindeer	0.440	0.439	0.000
4983	A woman is riding a horse	A horse is being ridden by a woman	1.000	1.000	0.000
2722	A woman, who is seated, is singing a song and playing the guitar	A seated woman is singing a song and playing the guitar	1.000	1.000	0.000
7548	The young girl in blue is jumping in the air	A young girl in blue is jumping in the air	1.000	1.000	0.000
3790	A person is scrubbing a zucchini	The person is scrubbing a zucchini	1.000	1.000	0.000
3657	A boy is filling a pitcher with water	A pitcher is being filled with water by a boy	1.000	1.000	0.000
5914	A horse is being ridden by a person	A person is riding a horse	1.000	1.000	0.000
5799	A person is peeling a potato	A potato is being peeled by a person	1.000	1.000	0.000
2001	The horse is being ridden by a man	A man is riding the horse	1.000	1.000	0.000
5203	The woman is putting pasta into a dish	Pasta is being put into a dish by a woman	1.000	1.000	0.000
5588	A cupcake is being eaten by a girl	A girl is eating a cupcake	1.000	1.000	0.000
5374	An octopus is being sliced by a woman	A woman is slicing an octopus	1.000	1.000	0.000
7093	The group of people is standing together and looking at the camera	A group of people is standing together and looking at the camera	1.000	1.000	0.000
